	ols	count
964	mafic lava	3
965	respirable suspended particulate matter	3
966	quarry	3
967	textile	3
968	slate	3
969	ice field	3
970	safe environment	3
971	clay loam	3
972	monomictic lake	3
973	natural monument	3
974	active enrichment culturing unit	3
975	dacitic lava	3
976	telephone	3
977	soil horizon	3
978	embankment dam	3
979	environmental monitoring area	3
980	tubular paraffin lantern	3
981	garden soil	3
982	upland soil	3
983	first year ice formation process	3
984	palsa	3
985	multiyear ice formation process	3
986	sub-bitumous coal	3
987	second year ice formation	3
988	oceanic crust	3
989	mudflat	3
990	area of polar tundra	3
991	planetary mantle	3
992	englacial	3
993	lower montane	3
994	water-based cloud	3
995	bubble	3
996	plant-associated environment	3
997	dry stream valley	3
998	volcanic cave	3
999	ice accumulation process	3
1000	lake coast	3
1001	speleothem	3
1002	swamp forest	3
1003	sclerophyllous forest	3
1004	exosphere	3
1005	upper montane	3
1006	alpine tree line ecotone	3
1007	paraffin wax	3
1008	hydrometeor	3
1009	ice gain	3
1010	crustacean farming process	3
1011	constructed swimming pool	3
1012	sea ice mass	3
1013	arable	3
1014	animal aquaculture process	3
1015	lake sediment	3
1016	truck	3
1017	fast ice	3
1018	undersea feature	3
1019	area designated as a nature reserve	2
1020	area of attached mussel assemblages	2
1021	digestive tract environment	2
1022	subway train	2
1023	stream water	2
1024	stain	2
1025	bus	2
1026	oceanic mussel reef	2
1027	alpine tundra ecosystem	2
1028	planetary subsurface environment	2
1029	plant feed	2
1030	fjord	2
1031	thaw hole	2
1032	office building	2
1033	wadi	2
1034	transport hub	2
1035	delicatessen	2
1036	fen	2
1037	village	2
1038	hot spring	2
1039	erosionally enriched ice	2
1040	ambulance	2
1041	ferry	2
1042	planktonic kerogen	2
1043	volcanic crater lake	2
1044	waterborne particulate matter	2
1045	woodland clearing	2
1046	mediterranean forest	2
1047	aircraft	2
1048	alkaline spring	2
1049	acidic spring	2
1050	subtropical dry broadleaf forest	2
1051	tropical dry broadleaf forest	2
1052	booth	2
1053	stream bed	2
1054	research station	2
1055	caldera	2
1056	poultry manure	2
1057	scum	2
1058	tunnel valley	2
1059	cabinet	2
1060	kame	2
1061	environmental monitoring program area	2
1062	man-made tunnel	2
1063	calcic spring	2
1064	trough	2
1065	gel	2
1066	sea surface layer	2
1067	container of an intermittent pond	2
1068	plume	2
1069	pasture	2
1070	anthropogenic contamination feature	2
1071	montane grassland	2
1072	colloid suspended in a hydrosphere	2
1073	flooded grassland	2
1074	tropical grassland	2
1075	steppe	2
1076	cow shed	2
1077	pasturable land	2
1078	subtropical moist broadleaf forest	2
1079	active layer in a cryosphere	2
1080	tectonic lake	2
1081	brewery	2
1082	meteor impact crater	2
1083	food processing building	2
1084	child care facility	2
1085	subtropical shrubland biome	2
1086	oasis	2
1087	isothermal surface	2
1088	motorcycle	2
1089	subtropical woodland biome	2
1090	isopycnal surface	2
1091	spacecraft	2
1092	isohaline surface	2
1093	spur	2
1094	lysocline	2
1095	ultisol	2
1096	irrigation canal	2
1097	canyon	2
1098	mediterranean grassland	2
1099	temperate grassland	2
1100	vinasse	2
1101	synthetic plastic	2
1102	depositional island	2
1103	fairground	2
1104	dry stream	2
1105	indoor toilet	2
1106	facility	2
1107	steel	2
1108	sparsely populated settlement	2
1109	eutrophic lake	2
1110	informal settlement	2
1111	subtropical savanna biome	2
1112	biogas	2
1113	central-draught lamp	2
1114	subtropical grassland biome	2
1115	watershed	2
1116	coastal flood	2
1117	wet meadow ecosystem	2
1118	zoological garden	2
1119	range of seamounts	2
1120	earth-filled dam	2
1121	yard	2
1122	andosol	2
1123	glacial ice loss	2
1124	weapons test site	2
1125	flower strip	2
1126	freshwater stream ecosystem	2
1127	clathrate material	2
1128	stream pool	2
1129	alluvial fan	2
1130	beach sand	2
1131	biocrust	2
1132	sulfur spring	2
1133	warm surface current	2
1134	biofilter	2
1135	cold surface current	2
1136	radioactive sediment	2
1137	animal feed	2
1138	compost soil	2
1139	cosmetic product	2
1140	glacial ice gain	2
1141	uranium deposit	2
1142	sea ice floe	2
1143	channel of an intermittent stream	2
1144	polar biome	2
1145	underground stream	2
1146	plastisphere	2
1147	thermokarst lake	2
1148	drinking water	2
1149	atmospheric carbon dioxide	2
1150	kiosk	2
1151	fine respirable suspended particulate matter	2
1152	strand swamp	2
1153	high temperature environment	2
1154	dome swamp	2
1155	stream sediment	2
1156	humid air	2
1157	young ice	2
1158	nutricline within a water body	2
1159	grass silage	2
1160	strait	2
1161	coal mine waste material	2
1162	manufactured cage	2
1163	whirlpool	2
1164	marine coral reef biome	2
1165	area designated for waste storage	2
1166	flame	2
1167	ballast tank	2
1168	feedlot	2
1169	stream valley	2
1170	rocky reef	2
1171	buffer zone	2
1172	safe environment for living organisms	2
1173	neutral spring	2
1174	agricultural waste material	2
1175	wildlife management area	2
1176	isthmus	2
1177	alpine biome	2
1178	water well	2
1179	landfill	2
1180	active anaerobic enrichment culturing unit	2
1181	fumarole	2
1182	liquid planetary surface	2
1183	submerged landform	2
1184	electric lamp	2
1185	covered pit latrine	2
1186	desert tree line ecotone	2
1187	ice-covered lake	2
1188	bench	2
1189	dry toilet fixture	2
1190	anaerobic sludge	2
1191	flush toilet fixture	2
1192	sedimentary intrusion	2
1193	mineral dust	2
1194	plant matter fall	2
1195	aerobic bioreactor	2
1196	table	2
1197	area of gramanoid or herbaceous vegetation	2
1198	raised beach	2
1199	chemically contaminated sediment	2
1200	organic matter fall	2
1201	welding fume	2
1202	microbial mat	2
1203	mud exterior wall	2
1204	oxbow lake	2
1205	hydraulic fluid	2
1206	shield volcano	2
1207	medical instrument	2
1208	shale	2
1209	shopping center	2
1210	savanna	2
1211	detritus	2
1212	charcoal	2
1213	oceanic mussel bed	2
1214	landslide lake	2
1215	glacial ice	2
1216	habitat	2
1217	car	2
1218	cleaning agent	2
1219	poultry litter	2
1220	fermentation pit	2
1221	tidal watercourse	2
1222	utility line	2
1223	electric power system	2
1224	aquaduct	2
1225	coal power plant	2
1226	chemocline	2
1227	dryer	2
1228	intensive care unit	2
1229	oceanic island	2
1230	roadside	2
1231	englacial process	2
1232	escarpment	2
1233	archeological site	2
1234	hill range	2
1235	cart	2
1236	thrust fault	2
1237	dry river valley	2
1238	glacial ice ablation process	2
1239	metal contaminated soil	2
1240	processed tobacco	2
1241	cut	2
1242	environmental zone of processual equilibrium	2
1243	ecological corridor	2
1244	mussel gill tissue material	2
1245	treated wood	2
1246	crater zone	2
1247	trench	2
1248	foamy environmental material	2
1249	impact crater lake	2
1250	isobaric surface	2
1251	varnish	2
1252	acid mine drainage	2
1253	open eaves	1
1254	area of deciduous forest	1
1255	tropical dry broadleaf forest biome	1
1256	desert pavement	1
1257	exorheic lake	1
1258	illuminated biosphere part	1
1259	organic farm	1
1260	plant pot	1
1261	raceway pond	1
1262	photosphere	1
1263	nitrogen-oxygen planetary atmosphere	1
1264	proglacial lake	1
1265	sodium chloride salt	1
1266	marginal ice zone front	1
1267	ultramafic lava	1
1268	deep ocean current	1
1269	fountain	1
1270	surface convergence	1
1271	tube well	1
1272	water mass front	1
1273	subtropical convergence front	1
1274	slum	1
1275	boundary current front	1
1276	equatorial upwelling front	1
1277	topographic upwelling front	1
1278	coastal upwelling front	1
1279	shelf-slope/shelf-break front	1
1280	farmyard manure	1
1281	felsic lava	1
1282	undersea trough	1
1283	shower curtain	1
1284	vein	1
1285	polluted lake	1
1286	smokeless tobacco	1
1287	contaminated air	1
1288	atmospheric column	1
1289	microfracture	1
1290	shear fracture	1
1291	active geological fault	1
1292	touchscreen	1
1293	space station	1
1294	train car	1
1295	mediterranean savanna biome	1
1296	area of open water	1
1297	water tap	1
1298	tuff cone	1
1299	geological joint	1
1300	bagasse	1
1301	closed eaves	1
1302	high pressure environment	1
1303	non-saline aerosol environment	1
1304	xylene contaminated soil	1
1305	saline aerosol environment	1
