class,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00005776,,porous|porosity,,,,,,,,porous|porosity,,,soil|histosol|peat soil,soil|clay|sand|silt|histosol|peat soil,porous|porosity,,soil|enriched soil|paddy field soil|field soil|agricultural soil|peaty paddy field soil,,soil|paddy field|agricultural field|agricultural ecosystem|anthropogenic environment|field|pedosphere|anthropised ecosystem|clay|sand|silt|histosol|peat soil,,soil|paddy field|agricultural field|agricultural ecosystem|field|anthropogenic environment|pedosphere|anthropised ecosystem|clay|sand|silt|histosol|peat soil,paddy field|anthropogenic environment|agricultural field|agricultural ecosystem|field|anthropised ecosystem|pedosphere,,,,
ENVO_00005777,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|grassland soil|steppe soil,terrestrial biome|terrestrial ecosystem|grassland area|steppe|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005778,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|tropical soil,,tropical environment|pedosphere|sand|clay|silt,,tropical environment|pedosphere|clay|sand|silt,tropical environment|pedosphere,,,,
ENVO_00005779,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|vegetable garden soil|garden soil,anthropogenic geographic feature|garden,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,,anthropogenic geographic feature|garden|pedosphere|clay|sand|silt,anthropogenic geographic feature|garden|pedosphere,,,,
ENVO_00005780,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|greenhouse soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005781,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|heat stressed soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005782,,porous|porosity,,,waste material|fecal material|bodily fluid material|excreta material,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|ornithogenic soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005783,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|leafy wood soil|forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005784,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|spruce forest soil|forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005786,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|upland soil,,elevated landform|landform|pedosphere|sand|clay|silt,,elevated landform|pedosphere|landform|clay|sand|silt,elevated landform|landform|pedosphere,,,,
ENVO_00005787,,porous|porosity,,terrestrial biome|terrestrial ecosystem,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|eucalyptus forest soil|forest soil,terrestrial biome|terrestrial ecosystem|woodland area|forested area|vegetated area,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005788,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|farm soil|rubber plantation soil|agricultural soil,,farm|plantation|rubber plantation|agricultural ecosystem|terrestrial biome|anthropogenic environment|anthropogenic terrestrial biome|cropland biome|cropland ecosystem|terrestrial ecosystem|anthropised ecosystem|pedosphere|sand|clay|silt,,farm|plantation|rubber plantation|agricultural ecosystem|terrestrial biome|anthropogenic environment|anthropogenic terrestrial biome|cropland biome|pedosphere|cropland ecosystem|terrestrial ecosystem|anthropised ecosystem|clay|sand|silt,farm|anthropogenic environment|plantation|rubber plantation|agricultural ecosystem|terrestrial biome|anthropogenic terrestrial biome|cropland biome|terrestrial ecosystem|cropland ecosystem|anthropised ecosystem|pedosphere,,,,
ENVO_00005789,,porous|porosity,,,,,,,,porous|porosity,,,,sand|clay|silt,porous|porosity,,soil|bluegrass field soil|agricultural soil,,agricultural ecosystem|anthropogenic environment|anthropised ecosystem|pedosphere|sand|clay|silt,,agricultural ecosystem|anthropogenic environment|pedosphere|anthropised ecosystem|clay|sand|silt,anthropogenic environment|agricultural ecosystem|anthropised ecosystem|pedosphere,,,,
ENVO_00005790,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|red soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00005791,,,,,,,,,,,,,,,,,liquid water|sterile water,,,,,,,,,
ENVO_00005792,,,,,,,,,,,,,,,,,liquid water|underground water,,,,,,,,,
ENVO_00005793,,,,,,,,,,,,,,,,,liquid water|muddy water,,,,,,,,,
ENVO_00005794,,,,,,,,,,,,,,,,,scum|water scum,,,,,,,,,
ENVO_00005795,,,,,,,,,,,,,,soil|liquid water|clay|sand|silt,,,mud|marine mud,,soil|marine water body|aquatic biome|marine environment|marine biome|hydrosphere|aquatic ecosystem|marine ecosystem|pedosphere|sand|clay|liquid water|silt,,soil|aquatic biome|marine environment|marine biome|marine water body|pedosphere|hydrosphere|aquatic ecosystem|marine ecosystem|clay|liquid water|sand|silt,aquatic biome|marine environment|marine biome|marine water body|hydrosphere|aquatic ecosystem|marine ecosystem,,,,
ENVO_00005796,,,,,,,,,anthropogenic environmental process,,,,,,,,marine sludge|sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00005797,,,,,,,,,,,,,,soil|liquid water|clay|sand|silt,,,mud|lake bottom mud,,soil|lake bed|depressed landform|submerged bed|landform|pedosphere|sand|clay|liquid water|silt,,soil|lake bed|depressed landform|submerged bed|pedosphere|landform|clay|liquid water|sand|silt,lake bed|depressed landform|submerged bed|landform,,,,
ENVO_00005798,,porous|porosity|granular|medium acidity|acidic,,,,,,,,porous|porosity|granular|medium acidity|acidic,,,,,granular|medium acidity|acidic,,sand|acid dune sand,,hill|dune|elevated landform|mount|landform,,hill|dune|elevated landform|mount|landform,dune|elevated landform|hill|mount|landform,,,,
ENVO_00005799,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand|rocky sand,,,,,,,,,
ENVO_00005800,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand|desert sand,,landform|desert|surface landform,,landform|desert|surface landform,landform|desert|surface landform,,,,
ENVO_00005802,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|bulk soil,,pedosphere|sand|clay|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00010505,,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol,,,,,,,,,
ENVO_00010506,,,,,,,,,,,,,,,,,emulsion,,,,,,,,,
ENVO_00010623,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock|dolomite,,,,,,,,,
ENVO_0010001,,,,,,,,,anthropogenic environmental process,,,,,,,,,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_0010003,,,,,,,,,anthropogenic environmental process,,,,,,,,,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000000,,,,,organic matter fall|plant matter fall,,,,,,,,,,,,humus|soil organic matter,,soil|pedosphere,,soil|pedosphere,soil|pedosphere,,,,
ENVO_01000001,,,,,,,,,,,,,,soil|liquid water|clay|sand|silt,,,mud,,soil|pedosphere|clay|liquid water|sand|silt,,soil|pedosphere|clay|liquid water|sand|silt,,,,,
ENVO_01000016,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,silt,,,,,,,,,
ENVO_01000017,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand,,,,,,,,,
ENVO_01000018,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,piece of rock|piece of gravel|rock,porous|porosity|granular,,gravel,,piece of rock|piece of gravel|rock,,piece of rock|piece of gravel|rock,,,,,
ENVO_01000060,,granular,,,,,,,,granular,,,,,granular,,,,,,,,,,,
ENVO_01000063,,,,,,,,,,,,,,,,,planktonic material,,,,,,,,,
ENVO_01000070,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|terrigenous sediment,,,,,,,,,
ENVO_01000082,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|biogenous sediment,,,,,,,,,
ENVO_01000110,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|hydrogenous sediment,,,,,,,,,
ENVO_01000111,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|cosmogenous sediment,,,,,,,,,
ENVO_01000112,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|hydrogenous sediment,,,,,,,,,
ENVO_01000113,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|suspended sediment,,,,,,,,,
ENVO_01000114,,porous|porosity|granular,piece of rock|boulder,,,,,,,porous|porosity|granular,,,,piece of rock|rock|boulder,porous|porosity|granular,,sediment|boulder sediment,,piece of rock|rock|boulder,,piece of rock|rock|boulder,,,,,
ENVO_01000115,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|cobble sediment,,,,,,,,,
ENVO_01000116,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|pebble sediment,,,,,,,,,
ENVO_01000117,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|granular sediment,,,,,,,,,
ENVO_01000118,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|sandy sediment,,,,,,,,,
ENVO_01000119,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|silty sediment,,,,,,,,,
ENVO_01000120,,porous|porosity|granular,clay,,,,,,,porous|porosity|granular,,,,clay,porous|porosity|granular,,sediment|clay sediment,,clay,,clay,,,,,
ENVO_01000121,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,colloidal sediment|sediment,,,,,,,,,
ENVO_01000131,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|mesophilic sediment,,,,,,,,,
ENVO_01000132,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|thermophilic sediment,,,,,,,,,
ENVO_01000133,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|hyperthermophilic sediment,,,,,,,,,
ENVO_01000134,,,,,,,,,,,,,,,,,liquid water|leachate|hydrothermal fluid,,,,,,,,,
ENVO_01000135,,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|nitrate-reducing sediment|anaerobic sediment,,,,,,,,,
ENVO_01000151,,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|manganese-reducing sediment|anaerobic sediment,,,,,,,,,
ENVO_01000152,,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|iron-reducing sediment|anaerobic sediment,,,,,,,,,
ENVO_01000153,,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|sulphate-reducing sediment|anaerobic sediment,,,,,,,,,
ENVO_01000154,,porous|granular|anaerobic|porosity|sensitivity toward|sensitivity to oxygen,,,,,,,,porous|porosity|granular|anaerobic|sensitivity toward|sensitivity to oxygen,,,,,porous|porosity|anaerobic|granular|sensitivity toward|sensitivity to oxygen,,sediment|anaerobic sediment,,,,,,,,,
ENVO_01000156,,,,,,,,,,,,,,,,,biofilm material,,,,,,,,,
ENVO_01000157,,,,,microbial mat,,,,,,,,,,,,microbial mat material,,,,,,,,,
ENVO_01000158,,granular,,,,,,,,granular,,,,,granular,,marine snow|detritus,,,,,,,,,
ENVO_01000173,,,,,,,,,,,,,,,,,liquid water|anoxic water,,,,,,,,,
ENVO_01000231,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,lava,,,,,,,,,
ENVO_01000232,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,felsic lava|lava,,,,,,,,,
ENVO_01000233,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,lava|intermediate lava,,,,,,,,,
ENVO_01000234,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,lava|mafic lava,,,,,,,,,
ENVO_01000235,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,ultramafic lava|lava,,,,,,,,,
ENVO_01000236,,hard,,,lava|mafic lava,,,,,hard,,,,,hard,,rock|basalt|igneous rock,,,,,,,,,
ENVO_01000266,,,,,,,,,,,,,,,,,water vapour,,,,,,,,,
ENVO_01000268,,chemical role|greenhouse gas,,,,,,,,chemical role|greenhouse gas,,,,,,chemical role|greenhouse gas,water vapour|atmospheric water vapour,,atmosphere|fluid layer,,atmosphere|fluid layer,atmosphere|fluid layer,,,,
ENVO_01000269,,hard,,,silt,,,,,hard,,,,,hard,,rock|sedimentary rock|siltstone|clastic sedimentary rock,,,,,,,,,
ENVO_01000270,,hard,,,clay,,,,,hard,,,,,hard,,rock|sedimentary rock|claystone|clastic sedimentary rock,,,,,,,,,
ENVO_01000271,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock|clastic sedimentary rock,,,,,,,,,
ENVO_01000272,,hard,,,mud,,,,,hard,,,,,hard,,rock|sedimentary rock|mudstone|clastic sedimentary rock,,,,,,,,,
ENVO_01000273,,hard,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,precipitation process,precipitation process,hard,,,,,hard,,rock|sedimentary rock|limestone|lime mudstone,,,precipitation process,,,,precipitation process,,
ENVO_01000274,,hard,,,rock|sedimentary rock|clastic sedimentary rock,,,,,hard,,,,,hard,,rock|slate|metamorphic rock,,,,,,,,,
ENVO_01000277,,,,,,,,,,,,,,,,,ice|water ice,,,,,,,,,
ENVO_01000301,,osmolarity|increased osmolarity,,,,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,salt|halogen|chlorine molecular entity|chlorine atom|sodium chloride|chloride,osmolarity|increased osmolarity,,liquid water|saline water|brackish water|estuarine water,,estuary|hydrosphere|brackish estuary|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,estuary|hydrosphere|brackish estuary|halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,estuary|hydrosphere|brackish estuary,,,,
ENVO_01000349,,,,,,,,,,,plant structure|root primordium|primordium|root anlagen,,,,,,root matter,,plant axis|root system|plant organ|plant structure|collective plant structure|collective plant organ structure,,plant axis|root system|plant organ|plant structure|collective plant structure|collective plant organ structure,plant axis|root system|plant organ|plant structure|collective plant structure|collective plant organ structure,,,,
ENVO_01000350,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand|autoclaved sand,,,,,,,,,
ENVO_01000356,,hard,,,lava,,,,,hard,,,,,hard,,rock|granite|igneous rock,,,,,,,,,
ENVO_01000357,,medium acidity|alkaline,,,,,,,,medium acidity|alkaline,,,,,medium acidity|alkaline,,liquid water|alkaline water,,,,,,,,,
ENVO_01000358,,medium acidity|acidic,,,,,,,,medium acidity|acidic,,,,,medium acidity|acidic,,liquid water|acidic water,,,,,,,,,
ENVO_01000371,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|agricultural waste material,,,,,,,,,
ENVO_01000372,,waste role,,,,,,,,waste role,,,,,,waste role,waste material|household waste material,,,,,,,,,
ENVO_01000373,,waste role,waste material|organic waste material,,,,,,,waste role,,,,waste material|organic waste material,,waste role,waste material,,waste material|organic waste material,,waste material|organic waste material,,,,,
ENVO_01000405,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol|respirable suspended particulate matter|aerosolised solids|amorphous solid,,air,,,,,,,air
ENVO_01000406,,,water ice|ice|object aggregate,,,,,,snowfall|precipitation process,,,,,water ice|ice|dinitrogen|dioxygen|carbon oxide|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|water vapour|snow crystal|diatomic nitrogen,,,snow,,ice|water ice|dioxygen|carbon oxide|carbon dioxide|dinitrogen|object aggregate|air|argon molecular entity|water ice crystal|snow crystal|water vapour|diatomic nitrogen|diatomic oxygen,snowfall|precipitation process,water ice|ice|dinitrogen|carbon dioxide|diatomic oxygen|object aggregate|air|argon molecular entity|water ice crystal|dioxygen|carbon oxide|snow crystal|water vapour|diatomic nitrogen,,,snowfall|precipitation process,,
ENVO_01000415,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol|respirable suspended particulate matter|aerosolised solids|fine respirable suspended particulate matter|amorphous solid,,air,,,,,,,air
ENVO_01000416,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,aerosol|respirable suspended particulate matter|ultrafine respirable suspended particulate matter|fine respirable suspended particulate matter|amorphous solid|aerosolised solids,,air,,,,,,,air
ENVO_01000427,,porous|porosity,,,,,,,,porous|porosity,,,carbon nanotube|nanotube,clay|sand|silt|carbon nanotube|nanotube,porous|porosity,,soil|enriched soil|carbon nanotube enriched soil,,pedosphere|clay|sand|silt|carbon nanotube|nanotube,,pedosphere|clay|sand|silt|carbon nanotube|nanotube,pedosphere,,,,
ENVO_01000436,liquid water,granular,,,,,,,,granular,,,,,granular,,waterborne particulate matter,,liquid water,,,,,,,liquid water
ENVO_01000441,,hard,,,intermediate lava|lava,,,,,hard,,,,,hard,,rock|andesite|igneous rock,,,,,,,,,
ENVO_01000442,,hard,,,dacitic lava|lava,,,,,hard,,,,,hard,,rock|dacite|igneous rock,,,,,,,,,
ENVO_01000444,,increased temperature,,,magma,,,,,increased temperature,,,,,increased temperature,,lava|dacitic lava,,,,,,,,,
ENVO_01000451,,,carbon oxide|carbon dioxide,,,,,,,,,,,carbon oxide|carbon dioxide,,,atmospheric carbon dioxide,,atmosphere|fluid layer|carbon oxide|carbon dioxide,,atmosphere|fluid layer|carbon dioxide|carbon oxide,atmosphere|fluid layer,,,,
ENVO_01000458,,,,,,,,,anthropogenic environmental process,,,,,masonry cement,,,concrete,,masonry cement,anthropogenic environmental process,masonry cement,,,anthropogenic environmental process,,
ENVO_01000459,,,,,,,,,anthropogenic environmental process,,,,,manufactured product|refined asphalt|masonry cement,,,concrete,,manufactured product|refined asphalt|masonry cement,anthropogenic environmental process,manufactured product|refined asphalt|masonry cement,,,anthropogenic environmental process,,
ENVO_01000460,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,,,,,,,,fuel|fossil fuel|combustibility|hydrophobicity|hydrophobic,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|petroleum|asphalt,,,,,,,,,
ENVO_01000461,,,,,oil|petroleum,,,,anthropogenic environmental process|manufacturing process,,,,,,,,manufactured product|refined asphalt,,,manufacturing process|anthropogenic environmental process,,,,manufacturing process|anthropogenic environmental process,,
ENVO_01000462,,,,,,,,,anthropogenic environmental process,,,,,,,,masonry cement,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000463,,,,,,,,,anthropogenic environmental process,,,,,,,,masonry cement|hydraulic cement,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000464,,,,,,,,,anthropogenic environmental process,,,,,,,,masonry cement|non-hydraulic cement,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000473,,,,,,,,,anthropogenic environmental process,,,,,,,,thatch,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000474,,,,,,,,,anthropogenic environmental process|manufacturing process,,,,,,,,manufactured product|brick material,,,manufacturing process|anthropogenic environmental process,,,,manufacturing process|anthropogenic environmental process,,
ENVO_01000476,,,,,,,,,anthropogenic environmental process,,,,,,,,plaster,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000477,,,,,,,,,anthropogenic environmental process,,,,,,,,plaster|gypsum plaster,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000478,,,,,,,,,anthropogenic environmental process,,,,,,,,plaster|cement plaster,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000479,,,,,,,,,anthropogenic environmental process,,,,,,,,plaster|lime plaster,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_01000480,,,,,,,,,,,,,,,,,glass,,,,,,,,,
ENVO_01000481,,,silicon molecular entity|silicon dioxide,,,,,,,,,,,silicon molecular entity|silicon dioxide,,,glass|silica-based glass,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01000482,,,silicon molecular entity|silicon dioxide,,,,,,,,,,,silicon molecular entity|silicon dioxide,,,glass|silica-based glass|soda-lime glass,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01000483,,,silicon molecular entity|silicon dioxide,,,,,,,,,,,silicon molecular entity|silicon dioxide,,,glass|flat glass|silica-based glass|soda-lime glass,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01000484,,,silicon molecular entity|silicon dioxide,,,,,,,,,,,silicon molecular entity|silicon dioxide,,,glass|container glass|silica-based glass|soda-lime glass,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01000485,,,silicon molecular entity|silicon dioxide,,,,,,,,,,,silicon molecular entity|silicon dioxide,,,glass|silica-based glass|quartz glass,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01000508,,,salt,,,,,,,,,,,salt,,,salt material,,salt,,salt,,,,,
ENVO_01000537,,,ozone|reactive oxygen species,,,,,,,,,,,ozone|reactive oxygen species,,,atmospheric ozone,,atmosphere|fluid layer|ozone|reactive oxygen species,,atmosphere|fluid layer|ozone|reactive oxygen species,atmosphere|fluid layer,,,,
ENVO_01000551,,fossil fuel|fuel|hydrophobicity|combustibility|hydrophobic,alkane|aliphatic compound,,,,,,,fuel|fossil fuel|combustibility|hydrophobicity|hydrophobic,,,,alkane|organic aromatic compound|polycyclic hydrocarbon|aliphatic compound|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|paraffin oil|fuel oil,,aromatic compound|alkane|organic aromatic compound|polycyclic hydrocarbon|aliphatic compound|cyclic hydrocarbon|naphthalene|arene|naphthalenes|ortho-fused bicyclic hydrocarbon|ortho-fused bicyclic arene,,alkane|organic aromatic compound|polycyclic hydrocarbon|aliphatic compound|cyclic hydrocarbon|naphthalene|arene|aromatic compound|naphthalenes|ortho-fused bicyclic arene|ortho-fused bicyclic hydrocarbon,,,,,
ENVO_01000552,,fossil fuel|fuel|combustibility,alkane|methane|aliphatic compound,,,,,,,fuel|fossil fuel|combustibility,,,,alkane|methane|aliphatic compound,,fuel|fossil fuel,natural gas|hydrocarbon gas,,alkane|methane|aliphatic compound,,alkane|methane|aliphatic compound,,,,,
ENVO_01000553,,fuel|increased pressure|pressure|combustibility|condensed,,,,,,,,fuel|increased pressure|pressure|combustibility|condensed,,,,,increased pressure|pressure|condensed,fuel,liquefied hydrocarbon gas|liquefied petroleum gas,,,,,,,,,
ENVO_01000554,,fuel|combustibility,,,,,,,,fuel|combustibility,,,,,,fuel,hydrocarbon gas,,,,,,,,,
ENVO_01000555,,fuel|fossil fuel|increased pressure|pressure|combustibility,alkane|methane|aliphatic compound,,,,,,,fuel|fossil fuel|increased pressure|pressure|combustibility,,,,alkane|methane|aliphatic compound,increased pressure|pressure,fuel|fossil fuel,natural gas|compressed natural gas|hydrocarbon gas,,alkane|methane|aliphatic compound,,alkane|methane|aliphatic compound,,,,,
ENVO_01000556,,fuel|combustibility,,,,,,,,fuel|combustibility,,,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,,fuel,biogas|hydrocarbon gas,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,,,,,
ENVO_01000557,,fuel|increased pressure|pressure|combustibility|condensed,,,,,,,,fuel|increased pressure|pressure|combustibility|condensed,,,,,increased pressure|pressure|condensed,fuel,liquefied hydrocarbon gas|liquefied natural gas,,,,,,,,,
ENVO_01000558,,fuel|increased pressure|pressure|combustibility|condensed,,,,,,,,fuel|increased pressure|pressure|combustibility|condensed,,,,,increased pressure|pressure|condensed,fuel,liquefied hydrocarbon gas,,,,,,,,,
ENVO_01000559,,fuel|increased pressure|pressure|combustibility,,,,,,,,fuel|increased pressure|pressure|combustibility,,,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,increased pressure|pressure,fuel,biogas|compressed biogas|hydrocarbon gas,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,,carbon oxide|carbon dioxide|alkane|methane|aliphatic compound,,,,,
ENVO_01000560,,fuel|combustibility,,,,,,,aerosol formation process|thermolysis|pyrolysis,fuel|combustibility,,,,,,fuel,charcoal,,,aerosol formation process|thermolysis|pyrolysis,,,,aerosol formation process|thermolysis|pyrolysis,,
ENVO_01000575,,,,,,,,,,,,,,,,,wax,,,,,,,,,
ENVO_01000599,,,,,,,,,,,,,,,,,liquid water|river water|stream water,,hydrosphere|river|stream,,hydrosphere|river|stream,hydrosphere|river|stream,,,,
ENVO_01000600,,,,,,,,,precipitation process,,,,,,,,liquid water|fresh water|rainwater,,,precipitation process,,,,precipitation process,,
ENVO_01000628,,dead|viability,,,,,,,,dead|viability,plant axis|plant organ|plant structure|collective plant structure|collective plant organ structure|shoot system|shoot axis|shoot apical meristem|shoot axis apex|peripheral zone|shoot system meristem|apical meristem|primordium|phyllome primordium|phyllome anlagen,,,plant organ|plant structure|phyllome|leaf,dead|viability,,plant litter,,plant organ|plant structure|collective plant structure|collective plant organ structure|phyllome|leaf|shoot system,,plant organ|plant structure|collective plant structure|collective plant organ structure|phyllome|leaf|shoot system,,,,,
ENVO_01000637,,,,,,,,,,,,,,,,,outer space,,,,,,,,,
ENVO_01000648,,increased temperature,,,,,,,,increased temperature,,,,,increased temperature,,magma,planetary structural layer,,,,,,,,
ENVO_01000660,,broken,,,,,,,volcanic eruption|explosive eruption,broken,,,,,broken,,tephra,,,volcanic eruption|explosive eruption,,,,volcanic eruption|explosive eruption,,
