class	acts upstream of or within	adjacent to	bearer of	capable of	capable of part of	causal agent in process	causal relation between entities	causal relation between material entity and a process	causally influenced by	causally related to	composed primarily of	contained in	contains process	continuous with	derives from	derives from part of	derives into	determined by	determined by part of	device utilizes material	formed as result of	functionally related to	generates	has characteristic	has component	has function	has increased levels of	has part	has quality	has role	http://www.w3.org/2000/01/rdf-schema#subClassOf	involved in	involved in or involved in regulation of	located in	location of	mereotopologically related to	obsolete contained in	output of	overlaps	part of	part of structure that is capable of	partially overlaps	partially surrounded by	participates in	spatially disjoint from	surrounded by
ENVO_00000493														stream channel																	obsequent stream					stream channel										
ENVO_00000494														stream channel																	insequent stream					stream channel										
ENVO_00000495														stream channel																	tributary					stream channel										
ENVO_00000496																															rill															
ENVO_00000497																															meander|rincon															
ENVO_00000498											igneous rock										rock-precursor intrusion process	rock-precursor intrusion process						igneous rock			volcanic dike|igneous intrusion|dike|intrusion|rock intrusion					igneous rock		rock-precursor intrusion process	igneous rock					rock-precursor intrusion process		
ENVO_00000499																															trough															
ENVO_00000500																															beaver dam|animal habitation															
ENVO_00000502																															container of an intermittent lake|container of an intermittent water body|container of an intermittent saline lake															
ENVO_00000503																															container of an intermittent lake|container of an intermittent water body|container of an intermittent oxbow lake|oxbow lake															
ENVO_00000504																															container of an intermittent water body|container of an intermittent pond															
ENVO_00000505																															irrigation canal|underground irrigation canal|canal|underground water body															
ENVO_00000506																															container of an intermittent water body|intermittently filled reservoir															
ENVO_00000507																															mouth|wadi mouth			wadi|valley|geographic basin												
ENVO_00000508																															terrace															
ENVO_00000509																															terrace|marine terrace															
ENVO_00000510																															meander neck					meander			meander	meander						
ENVO_00000511											histosol|peat soil																	histosol|peat soil			peatland|blanket bog					histosol|peat soil			histosol|peat soil							
ENVO_00000512		pond																													pond bed					pond									pond	
ENVO_00000513		reservoir|artificial lake																													reservoir bed					reservoir|artificial lake									reservoir|artificial lake	
ENVO_00000514																															crater															
ENVO_00000515																												road|transport feature|constructed pavement			anthropogenic geographic feature|road cut|cut					road|transport feature|constructed pavement			transport feature|road|constructed pavement							
ENVO_00000516																															hummock															
ENVO_00000517														stream channel																	lost stream					stream channel										
ENVO_00000518																															mouth|ditch mouth					artificial channel|ditch			artificial channel|ditch	artificial channel|ditch						
ENVO_00000519																															agricultural ecosystem|terrace|agricultural terrace															
ENVO_00000520																					landslide process|mass wasting	landslide process|mass wasting									landslide							landslide process|mass wasting						landslide process|mass wasting		
ENVO_00000521																					rockslide process|landslide process|mass wasting	rockslide process|landslide process|mass wasting									landslide|rockfall							rockslide process|landslide process|mass wasting						rockslide process|landslide process|mass wasting		
ENVO_00000522																															channel|man-made tunnel|tunnel|canal tunnel															
ENVO_00000523																												bank			cutoff					bank			bank							
ENVO_00000524																															abandoned watercourse															
ENVO_00000525														stream channel																	canalized stream					stream channel										
ENVO_00000526																															cliff cleft					cliff			cliff	cliff						
ENVO_00000527																															interfluve															
ENVO_00000528																															ridge|ice cap ridge					ice mass|ice cap|land ice mass|cryosphere|cryoform			ice mass|ice cap|cryosphere|land ice mass|cryoform	ice mass|ice cap|land ice mass|cryosphere|cryoform						
ENVO_00000529		beach																													ridge|beach ridge					beach									beach	
ENVO_00000530																															apron															
ENVO_00000531																															ice cap depression					ice mass|ice cap|land ice mass|cryosphere|cryoform			ice mass|ice cap|cryosphere|land ice mass|cryoform	ice mass|ice cap|land ice mass|cryosphere|cryoform						
ENVO_00000532																															container of an intermittent water body|container of an intermittent pond|intermittent saline evaporation pond															
ENVO_00000533																															landfill															
ENVO_00000534																															riverine pothole															
ENVO_00000535																															weir|dam|constructed barrier															
ENVO_00000536																															moatan															
ENVO_00000537																												piece of rock|boulder			boulder field					boulder|piece of rock			boulder|piece of rock							
ENVO_00000538																															arrugado					sea floor|marine bed			sea floor|marine bed	sea floor|marine bed						
ENVO_00000539																															geographic sill															
ENVO_00000540											brackish water																	brackish water			saline lake|brackish lake|brackish water body					brackish water			brackish water							
ENVO_00000541											brackish water																	brackish water			pond|brackish pond|brackish water body					brackish water			brackish water							
ENVO_00000542																												piece of gravel|piece of rock|gravel			kame					piece of gravel|gravel|piece of rock			piece of gravel|gravel|piece of rock							
ENVO_00000543																															swale															
ENVO_00000544																												bank			artificial channel|leat					bank			bank							
ENVO_00000545																												pebble|piece of rock			beach|shingle beach					shore|pebble|piece of rock			shore|pebble|piece of rock	shore						
ENVO_00000546																						sedimentation in a water body									lake sediment							sedimentation in a water body						sedimentation in a water body		
ENVO_00000547																															pond|waterhole															
ENVO_00000548											gravel																	piece of gravel|piece of rock|gravel			field|gravel field					piece of gravel|gravel|piece of rock			piece of gravel|gravel|piece of rock							
ENVO_00000549																															container of an intermittent water body															
ENVO_00000550																												mountain|mount|seamount			mountain range|range of mounts|field|range of seamounts					mountain|mount|seamount			mountain|mount|seamount							
ENVO_00000551																															endorheic basin|drainage basin															
ENVO_00000552																															part of a landmass|talik												permafrost			
ENVO_00000553																															multipurpose dam|dam|constructed barrier															
ENVO_00000554																															saddle dam|dam|constructed barrier															
ENVO_00000555																															check dam|dam|constructed barrier															
ENVO_00000556																															wing dam|dam|constructed barrier															
ENVO_00000557																															dry dam|dam|constructed barrier															
ENVO_00000558																															diversionary dam|dam|constructed barrier															
ENVO_00000559																															anthropogenic geographic feature|weapons test site															
ENVO_00000560																															anthropogenic geographic feature|weapons test site|nuclear weapons test site															
ENVO_00000561																															anthropogenic geographic feature|military training area													usage of an environment for defence		
ENVO_00000562																															anthropogenic geographic feature|park															
ENVO_00000563																															transport feature|pier													usage of an environment for transportation		
ENVO_00000564																															archeological site															
ENVO_00000565																															sports facility													usage of an environment for recreation		
ENVO_00000566																															sports facility|winter sports facility													usage of an environment for recreation		
ENVO_00000567											limestone|sedimentary rock																	sedimentary rock|limestone			valley|geographic basin|calanque					planetary crust|limestone|sedimentary rock			planetary crust|limestone|sedimentary rock							
ENVO_00000856																															dense settlement|city|animal-associated environment|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement															
ENVO_00000873																															aquatic biome|freshwater biome|freshwater ecosystem															
ENVO_00000887																												river|freshwater river|freshwater stream			freshwater river biome|aquatic biome|large river biome|freshwater biome|freshwater ecosystem					river|freshwater river|freshwater stream			river|freshwater river|freshwater stream							
ENVO_00000888																												river|structural basin|freshwater river|headwater|freshwater stream			freshwater river biome|aquatic biome|freshwater biome|freshwater ecosystem|large river headwater biome					river|structural basin|freshwater river biome|large river biome|aquatic biome|freshwater biome|freshwater ecosystem|freshwater river|headwater|freshwater stream			river|structural basin|freshwater river biome|large river biome|aquatic biome|freshwater biome|freshwater ecosystem|freshwater river|headwater|freshwater stream	freshwater river biome|large river biome|freshwater biome|aquatic biome|freshwater ecosystem						
ENVO_00000889																												river|delta|freshwater river|stream mouth|river mouth|mouth|freshwater stream			freshwater river biome|aquatic biome|freshwater biome|freshwater ecosystem|large river delta biome					river|freshwater river biome|large river biome|aquatic biome|freshwater biome|freshwater ecosystem|delta|freshwater river|stream mouth|river mouth|mouth|freshwater stream			river|freshwater river biome|large river biome|aquatic biome|freshwater biome|freshwater ecosystem|delta|freshwater river|stream mouth|river mouth|mouth|freshwater stream	freshwater river biome|large river biome|freshwater biome|aquatic biome|freshwater ecosystem						
ENVO_00000890																												river|freshwater river|freshwater stream			freshwater river biome|aquatic biome|freshwater biome|freshwater ecosystem|small river biome					river|freshwater river|freshwater stream			river|freshwater river|freshwater stream							
ENVO_00000891																												freshwater lake			aquatic biome|freshwater biome|freshwater ecosystem|large freshwater lake biome|freshwater lake biome					freshwater lake			freshwater lake							
ENVO_00000892																												freshwater lake			aquatic biome|freshwater biome|freshwater ecosystem|small freshwater lake biome|freshwater lake biome					freshwater lake			freshwater lake							
ENVO_00000893																												spring|freshwater spring			aquatic biome|freshwater biome|freshwater ecosystem|xeric basin biome					spring|freshwater spring			spring|freshwater spring							
ENVO_00001996																															mine drainage					mine			mine	mine						
ENVO_00001997																															mine drainage|acid mine drainage					mine			mine	mine						
ENVO_00002001			waste role																					waste role						waste role	waste material|contaminated water|waste water															
ENVO_00002003			waste role																					waste role						waste role	fecal material|waste material|bodily fluid material|excreta material															
ENVO_00002008																															dust															
ENVO_00002012																															hypersaline water															
ENVO_00002013															lava	lava															igneous rock															
ENVO_00002014															lava	lava															igneous rock|plutonic rock															
ENVO_00002015																															volcanic rock															
ENVO_00002016																															sedimentary rock															
ENVO_00002017																															metamorphic rock															
ENVO_00002018			waste role								waste material|animal waste material|organic waste material|biological waste material													waste role				waste material|animal waste material|organic waste material|biological waste material		waste role	waste material|contaminated water|waste water|sewage					waste material|animal waste material|organic waste material|biological waste material			waste material|animal waste material|organic waste material|biological waste material							
ENVO_00002019																															brackish water															
ENVO_00002030																															aquatic biome															
ENVO_00002040																															wood															
ENVO_00002042																															surface water					liquid surface layer|fluid surface layer|water surface			liquid surface layer|water surface|fluid surface layer	liquid surface layer|water surface|fluid surface layer						
ENVO_00002043																															industrial building|wastewater treatment plant|waste treatment plant													usage of an environment for industry		
ENVO_00002044																															sludge															
ENVO_00002045																															anaerobic sediment															
ENVO_00002046																															activated sludge|sludge															
ENVO_00002047			waste role																					waste role						waste role	waste material|bodily fluid material|excreta material|urine material															
ENVO_00002053																					precipitation process|chemical precipitation process	precipitation process|chemical precipitation process									sedimentary rock|limestone							precipitation process|chemical precipitation process						precipitation process|chemical precipitation process		
ENVO_00002054																					precipitation process|chemical precipitation process	precipitation process|chemical precipitation process									sedimentary rock|limestone|chalk							precipitation process|chemical precipitation process						precipitation process|chemical precipitation process		
ENVO_00002055																															sedimentary rock|sandstone|clastic sedimentary rock															
ENVO_00002056																															sedimentary rock|shale|clastic sedimentary rock															
ENVO_00002057																															sludge|raw primary sludge															
ENVO_00002058																															sludge|secondary sludge															
ENVO_00002059																															sludge|biosolids															
ENVO_00002060																															sludge|contaminated sludge|oil sludge															
ENVO_00002061																															anthropogenic geographic feature|oil spill|anthropogenic contamination feature															
ENVO_00002063											oil|hydrocarbon-based environmental material																	oil|hydrocarbon-based environmental material			oil seep					oil|hydrocarbon-based environmental material			oil|hydrocarbon-based environmental material							
ENVO_00002112																															mine drainage|gold mine drainage					mine			mine	mine						
ENVO_00002113																						sedimentation in a water body									deep marine sediment|marine sediment							sedimentation in a water body						sedimentation in a water body		
ENVO_00002114																															chemically enriched sediment															
ENVO_00002115																									oil|petroleum|hydrocarbon-based environmental material		oil|petroleum|hydrocarbon-based environmental material	oil|petroleum|hydrocarbon-based environmental material			chemically enriched sediment|petroleum enriched sediment|organically enriched sediment					oil|petroleum|hydrocarbon-based environmental material			oil|petroleum|hydrocarbon-based environmental material							
ENVO_00002116																															enriched soil|contaminated soil															
ENVO_00002117																									chemical product|creosote		chemical product|creosote	chemical product|creosote			enriched soil|contaminated soil|creosote contaminated soil					chemical product|creosote			chemical product|creosote							
ENVO_00002118																															sea sand															
ENVO_00002119		alkaline water																													spring|alkaline hot spring|mineral spring|alkaline spring					alkaline water									alkaline water	
ENVO_00002120		acidic water																													spring|acidic hot spring|acidic spring					acidic water									acidic water	
ENVO_00002121																															saline lake|alkaline salt lake															
ENVO_00002122																															mud|arsenic-rich mud															
ENVO_00002123																															bioreactor|biomaterial containment unit															
ENVO_00002124																															bioreactor|anaerobic bioreactor|biomaterial containment unit															
ENVO_00002125																															bioreactor|anaerobic bioreactor|anaerobic dechlorinating bioreactor|biomaterial containment unit															
ENVO_00002126																															bioreactor|aerobic bioreactor|biomaterial containment unit															
ENVO_00002127																															stream sediment															
ENVO_00002128																															spring|mesophilic sulfur spring|mineral spring|sulfur spring															
ENVO_00002129																															anaerobic sludge|sludge															
ENVO_00002130		metalimnion|thermocline|fluid cline																													hypolimnion|lake layer					meromictic lake|metalimnion|thermocline|fluid cline			meromictic lake	meromictic lake					metalimnion|thermocline|fluid cline	
ENVO_00002131		metalimnion|thermocline|fluid cline																													lake layer|epilimnion					meromictic lake|metalimnion|thermocline|fluid cline			meromictic lake	meromictic lake					metalimnion|thermocline|fluid cline	
ENVO_00002132																															metalimnion|thermocline|fluid cline															
ENVO_00002133																															mud|anaerobic mud															
ENVO_00002134																															anaerobic sediment|stream sediment|anaerobic stream sediment															
ENVO_00002135																															wood|treated wood															
ENVO_00002136																															wood|arsenate treated wood|treated wood															
ENVO_00002137																															estuary|brackish estuary					coastal wetland ecosystem			coastal wetland ecosystem			coastal wetland ecosystem				
ENVO_00002138																															beach sand					shore|beach|sandy beach			shore|beach|sandy beach	shore|sandy beach|beach						
ENVO_00002141																															leachate															
ENVO_00002142																															leachate|borax leachate															
ENVO_00002143																															spring|calcite hot spring|mineral spring|calcic spring															
ENVO_00002144																															cave wall															
ENVO_00002145																															metal contaminated soil|enriched soil|contaminated soil|chromate contaminated soil															
ENVO_00002146																															enriched soil|contaminated soil|xylene contaminated soil															
ENVO_00002147																						sedimentation in a water body									lake sediment|coal mine lake sediment							sedimentation in a water body						sedimentation in a water body		
ENVO_00002148																															beach sand|coarse beach sand					shore|beach|sandy beach			shore|beach|sandy beach	shore|sandy beach|beach						
ENVO_00002150		sea coast																													coastal sea water					sea coast									sea coast	
ENVO_00002152																															bioreactor|biofilter|biomaterial containment unit															
ENVO_00002153																															bioreactor|biofilter|compost biofilter|biomaterial containment unit															
ENVO_00002154																															chemically enriched sediment|radioactive sediment															
ENVO_00002155																															chemically enriched sediment|radioactive sediment|high-level radioactive sediment															
ENVO_00002156																															fiat part of an astronomical object|Superfund site|area designated for waste storage															
ENVO_00002158																															ditch water					artificial channel|ditch			artificial channel|ditch	artificial channel|ditch						
ENVO_00002159																															drilling bore water															
ENVO_00002160																															mud|estuarine mud					estuary			estuary	estuary						
ENVO_00002164																						fossilization of organic material									fossil material							fossilization of organic material						fossilization of organic material		
ENVO_00002167				material extraction process	material extraction process	material extraction process		material extraction process		material extraction process												material extraction process									mine|platinum mine													mining		
ENVO_00002168				material extraction process	material extraction process	material extraction process		material extraction process		material extraction process												material extraction process									mine|gold mine													mining		
ENVO_00002169				material extraction process	material extraction process	material extraction process		material extraction process		material extraction process												material extraction process									coal mine|mine													mining		
ENVO_00002170																															manure|compost															
ENVO_00002171																															manure|hay compost|compost															
ENVO_00002176																															sludge|contaminated sludge															
ENVO_00002177																															1,4-dioxane contaminated sludge|sludge|contaminated sludge															
ENVO_00002178																															iron-reducing zone of petroleum contaminated sediment					chemically enriched sediment|petroleum enriched sediment|organically enriched sediment			chemically enriched sediment|petroleum enriched sediment|organically enriched sediment	chemically enriched sediment|petroleum enriched sediment|organically enriched sediment						
ENVO_00002179																															intertidal sediment															
ENVO_00002180																															chemically enriched sediment|organically enriched sediment|naphthalene enriched sediment|chemically contaminated sediment															
ENVO_00002181																															spring|neutral hot spring|neutral spring															
ENVO_00002182																															chemically enriched sediment|organically enriched sediment|nitrobenzene enriched sediment															
ENVO_00002183																															oil tank															
ENVO_00002184																															subsurface landform															
ENVO_00002185																												oil|petroleum|hydrocarbon-based environmental material			subsurface landform|oil reservoir					oil|petroleum|hydrocarbon-based environmental material			oil|petroleum|hydrocarbon-based environmental material							
ENVO_00002186																															contaminated water															
ENVO_00002191																															animal litter															
ENVO_00002192																															animal litter|poultry litter															
ENVO_00002193			waste role																					waste role						waste role	waste material|contaminated water|waste water|pulp-bleaching waste water															
ENVO_00002194																															oil field production water															
ENVO_00002195																															mine drainage|acid mine drainage|pyritic acid mine drainage					mine			mine	mine						
ENVO_00002196																															aquarium|biomaterial containment unit|vivarium															
ENVO_00002197																															aquarium|saline water aquarium|biomaterial containment unit|vivarium															
ENVO_00002198																															aquarium|fresh water aquarium|biomaterial containment unit|vivarium															
ENVO_00002199																															beach|sandy beach					shore			shore	shore						
ENVO_00002200																						material congelation process|freezing of water into water ice|freezing									sea ice|water-body-derived ice							material congelation process|freezing|freezing of water into water ice						material congelation process|freezing of water into water ice|freezing		
ENVO_00002201																															chemically enriched sediment|organically enriched sediment|cis-dichloroethane contaminated sediment															
ENVO_00002202																															chemically enriched sediment|organically enriched sediment															
ENVO_00002203																															chemically enriched sediment|inorganically enriched sediment															
ENVO_00002204																															anthropogenic geographic feature|anthropogenic contamination feature															
ENVO_00002205																															landfill|unexploded-ordnance dump															
ENVO_00002206			waste role																			material extraction process		waste role						waste role	waste material|coal mine waste material|industrial waste material					coal mine|mine			coal mine|mine	coal mine|mine	material extraction process					
ENVO_00002207			waste role																			material extraction process		waste role						waste role	waste material|coal mine waste material|self-heating coal mine waste material|industrial waste material					coal mine|mine			coal mine|mine	coal mine|mine	material extraction process					
ENVO_00002209		saline lake																				sedimentation in a water body									lake sediment|saline lake sediment					saline lake		sedimentation in a water body						sedimentation in a water body	saline lake	
ENVO_00002210																															bioreactor|aerobic sulfide-oxidizing bioreactor|aerobic bioreactor|biomaterial containment unit															
ENVO_00002211																															bioreactor|thermophilic anaerobic methanogenic reactor|anaerobic bioreactor|biomaterial containment unit															
ENVO_00002212																															thermophilic granular sludge|sludge															
ENVO_00002213																															bioreactor|anaerobic sludge blanket reactor|anaerobic bioreactor|biomaterial containment unit															
ENVO_00002214				anthropogenic generation of energy	anthropogenic generation of energy	anthropogenic generation of energy		anthropogenic generation of energy		anthropogenic generation of energy												anthropogenic generation of energy	energy								industrial building|power plant													usage of an environment for industry		
ENVO_00002215				anthropogenic generation of energy	anthropogenic generation of energy	anthropogenic generation of energy		anthropogenic generation of energy		anthropogenic generation of energy												anthropogenic generation of energy	energy								industrial building|power plant|geothermal power plant													usage of an environment for industry		
ENVO_00002221																															commercial building|shop													usage of an environment for business		
ENVO_00002222																															commercial building|shop|food shop													usage of an environment for business		
ENVO_00002223																															oligotrophic water															
ENVO_00002224																															eutrophic water															
ENVO_00002225																															mesotrophic water															
ENVO_00002226																															channel|borehole															
ENVO_00002228																															pond water					pond			pond	pond						
ENVO_00002229																															arenosol															
ENVO_00002230																															anthrosol															
ENVO_00002231																															alisol															
ENVO_00002232																															andosol															
ENVO_00002233																															albeluvisol															
ENVO_00002234																															acrisol|ultisol															
ENVO_00002235																															cambisol															
ENVO_00002236																															frozen soil|cryosol					permafrost|frozen land			permafrost|frozen land	permafrost|frozen land						
ENVO_00002237																															chernozem															
ENVO_00002238																															durisol															
ENVO_00002239																															calcisol															
ENVO_00002240																															kastanozem															
ENVO_00002241																															leptosol															
ENVO_00002242																															lixisol															
ENVO_00002243																															histosol															
ENVO_00002244																															gleysol															
ENVO_00002245																															gypsisol															
ENVO_00002246																															ferralsol															
ENVO_00002247																															nitisol															
ENVO_00002248																															luvisol															
ENVO_00002249																															phaeozem															
ENVO_00002250																															plinthosol															
ENVO_00002251																															planosol															
ENVO_00002252																															solonchak															
ENVO_00002253																															umbrisol															
ENVO_00002254																															vertisol															
ENVO_00002255																															solonetz															
ENVO_00002256																															regosol															
ENVO_00002257																															podzol															
ENVO_00002258			soil texture																					soil texture							loam															
ENVO_00002259																															agricultural soil					agricultural ecosystem			agricultural ecosystem	agricultural ecosystem						
ENVO_00002260																															dune soil|upland soil					mount|hill|dune			mount|hill|dune	mount|hill|dune						
ENVO_00002261																															forest soil			forested area|woodland area												
ENVO_00002262																															clay soil															
ENVO_00002263																															garden soil			garden|anthropogenic geographic feature		garden|anthropogenic geographic feature			garden|anthropogenic geographic feature	garden|anthropogenic geographic feature						
ENVO_00002264			waste role																					waste role						waste role	waste material															
ENVO_00002266			waste role																					waste role						waste role	waste material|agricultural waste material|chicken breeding waste material															
ENVO_00002267			waste role																					waste role						waste role	waste material|industrial waste material															
ENVO_00002268											histosol|peat soil																	histosol|peat soil			peatland|sphagnum bog					histosol|peat soil			histosol|peat soil							
ENVO_00002269																															thermocline|fluid cline															
ENVO_00002270																															fluid cline|chemocline															
ENVO_00002271				anthropogenic generation of energy	anthropogenic generation of energy	anthropogenic generation of energy		anthropogenic generation of energy		anthropogenic generation of energy												anthropogenic generation of energy	energy					nuclear reactor|nuclear power reactor			industrial building|power plant|nuclear power plant					nuclear reactor|nuclear power reactor			nuclear reactor|nuclear power reactor					usage of an environment for industry		
ENVO_00002272																															industrial building|waste treatment plant													usage of an environment for industry		
ENVO_00002273																															fluvisol															
ENVO_00002274																															stagnosol															
ENVO_00002275																															technosol															
ENVO_00002276			waste role								waste material|organic waste material|biological waste material													waste role				waste material|organic waste material|biological waste material		waste role	waste material|animal waste material|organic waste material|biological waste material					waste material|organic waste material|biological waste material			waste material|organic waste material|biological waste material							
ENVO_00002277																															structural basin|back-arc basin					marine bed			marine bed	marine bed						
ENVO_00002450		ocean																													ocean basin|structural basin					ocean									ocean	
ENVO_00002869																															agricultural environmental material|hay															
ENVO_00002870																															adobe															
ENVO_00002871																															alluvial soil															
ENVO_00002872			waste role																					waste role						waste role	waste material|bagasse															
ENVO_00002873			waste role								waste material|organic waste material|biological waste material													waste role				waste material|organic waste material|biological waste material		waste role	waste material|organic waste material|biological waste material					waste material|organic waste material|biological waste material			waste material|organic waste material|biological waste material							
ENVO_00002874																															air conditioning unit															
ENVO_00002875																									oil|hydrocarbon-based environmental material		oil|hydrocarbon-based environmental material	oil|hydrocarbon-based environmental material			enriched soil|contaminated soil|oil contaminated soil					oil|hydrocarbon-based environmental material			oil|hydrocarbon-based environmental material							
ENVO_00002926																															spring|seep|warm seep					ocean			ocean	ocean						
ENVO_00002983																															oil|hydrocarbon-based environmental material|fuel oil															
ENVO_00002984																															oil|petroleum|hydrocarbon-based environmental material															
ENVO_00002985																															oil|hydrocarbon-based environmental material															
ENVO_00003030																															agricultural environmental material|silage															
ENVO_00003031																															animal manure|manure															
ENVO_00003032																															animal manure|manure|fresh animal manure															
ENVO_00003033																															manure|mushroom compost|compost															
ENVO_00003040																															house|animal house															
ENVO_00003041																															house|animal house|cow shed															
ENVO_00003042																															house|animal house|piggery															
ENVO_00003043																															industrial building|sewage plant|waste treatment plant													usage of an environment for industry		
ENVO_00003044																															hypersaline water|brine															
ENVO_00003045																															hypersaline water|brine|bacon curing brine															
ENVO_00003064																															drinking water															
ENVO_00003065																															distilled water															
ENVO_00003071																															agricultural environmental material|grass silage|silage															
ENVO_00003081																															metal contaminated soil|enriched soil|contaminated soil															
ENVO_00003082																															enriched soil															
ENVO_00003083																															sarcosine enriched soil|enriched soil															
ENVO_00003084																															trimethylamine enriched soil|enriched soil															
ENVO_00003085																															skatole enriched soil|enriched soil															
ENVO_00003086																															ethanol enriched soil|enriched soil															
ENVO_00003087																															acetamide enriched soil|enriched soil															
ENVO_00003088																															enriched soil|pantothenate enriched soil															
ENVO_00003089																															enriched soil|testosterone enriched soil															
ENVO_00003090																															enriched soil|kynurenate enriched soil															
ENVO_00003091																															enriched soil|threonine enriched soil															
ENVO_00003092																															enriched soil|salicylate enriched soil															
ENVO_00003093																															enriched soil|poly-beta-hydroxybutyrate enriched soil															
ENVO_00003094																															enriched soil|L-(+)-tartrate enriched soil															
ENVO_00003095																															enriched soil|quinate enriched soil															
ENVO_00003096																															tap water															
ENVO_00003097																															bore hole water															
ENVO_00003323																															industrial building|tannery													usage of an environment for industry		
ENVO_00003859																															animal manure|manure|horse manure															
ENVO_00003860																															animal manure|manure|pig manure															
ENVO_00003861																															industrial building													usage of an environment for industry		
ENVO_00003862																															dairy|industrial building													usage of an environment for industry		
ENVO_00003863																															industrial building|food processing building													usage of an environment for industry		
ENVO_00003864																															industrial building|bakery													usage of an environment for industry		
ENVO_00003869																															straw|agricultural environmental material															
ENVO_00003870																															straw|agricultural environmental material|rice straw															
ENVO_00003884																															animal manure|manure|farmyard manure															
ENVO_00003885																															industrial building|brewery													usage of an environment for industry		
ENVO_00003893																															cosmetic product															
ENVO_00003894																															cosmetic product|face cream product															
ENVO_00003895																															paper product															
ENVO_00003896																															paper product|currency note															
ENVO_00003900																															agricultural environmental material|grass silage|rye grass silage|silage															
ENVO_00003903																															oil|hydrocarbon-based environmental material|aviation fuel															
ENVO_00003908																															poultry deep litter|animal litter|poultry litter															
ENVO_00003911																															industrial building|brewery|sake brewery													usage of an environment for industry		
ENVO_00003914																									limestone|chalk|sedimentary rock		sedimentary rock|limestone|chalk	sedimentary rock|limestone|chalk			chalk soil|enriched soil					limestone|chalk|sedimentary rock			limestone|chalk|sedimentary rock							
ENVO_00003919																															research facility|research station															
ENVO_00003927																															animal manure|manure|stable manure															
ENVO_00003930																															scum															
ENVO_00003963																															commercial building|warehouse													usage of an environment for business		
ENVO_00003964																															commercial building|warehouse|tobacco warehouse													usage of an environment for business		
ENVO_00003965																															anaerobic digester sludge|anaerobic sludge|sludge															
ENVO_00003967																															creamery					dairy|industrial building			dairy|industrial building	dairy|industrial building						
ENVO_00003968																															air filter					air conditioning unit			air conditioning unit	air conditioning unit						
ENVO_00003978																															agricultural environmental material|potato silage|silage															
ENVO_00003982																					precipitation process|chemical precipitation process	precipitation process|chemical precipitation process									sedimentary rock|limestone|travertine							precipitation process|chemical precipitation process						precipitation process|chemical precipitation process		
ENVO_00004638													lumber production process|planetary manufacturing process																		industrial building|sawmill													usage of an environment for industry		
ENVO_00004683																															plain|karst field			karst												
ENVO_00005738																															foamy environmental material															
ENVO_00005739																															foamy environmental material|sea foam			sea												
ENVO_00005740																															agricultural soil|paddy field soil|field soil					agricultural ecosystem|field|agricultural field|paddy field			agricultural ecosystem|field|paddy field|agricultural field	agricultural ecosystem|field|paddy field|agricultural field						
ENVO_00005741			alpine|altitudinal condition																					alpine|altitudinal condition					alpine|altitudinal condition		alpine soil															
ENVO_00005742																															arable soil															
ENVO_00005743																															roadside soil			anthropogenic geographic feature|roadside												
ENVO_00005744																															garden soil|allotment garden soil			garden|anthropogenic geographic feature		allotment garden|garden|anthropogenic geographic feature			allotment garden|garden|anthropogenic geographic feature	anthropogenic geographic feature|allotment garden|garden						
ENVO_00005745																															allotment garden|garden|anthropogenic geographic feature															
ENVO_00005746																															savanna soil|grassland soil			savanna|grassland area												
ENVO_00005747															manure|compost	manure|compost															compost soil															
ENVO_00005748																															dry soil															
ENVO_00005749																															farm soil															
ENVO_00005750																															grassland soil			grassland area												
ENVO_00005751																															jungle soil															
ENVO_00005752																															sawah soil															
ENVO_00005753																															urea enriched soil|enriched soil															
ENVO_00005754																															fertilized soil															
ENVO_00005755																															field soil					field|agricultural field			field|agricultural field	field|agricultural field						
ENVO_00005756																															lawn soil															
ENVO_00005757																															bacteria enriched soil|enriched soil															
ENVO_00005758																															alluvial soil|alluvial swamp soil					swamp ecosystem			swamp ecosystem	swamp ecosystem						
ENVO_00005759																															alluvial soil|alluvial paddy field soil|agricultural soil|paddy field soil|field soil					agricultural ecosystem|field|agricultural field|paddy field			agricultural ecosystem|field|paddy field|agricultural field	agricultural ecosystem|field|paddy field|agricultural field						
ENVO_00005760																						thermolysis|aerosol formation process|combustion process									burned soil							thermolysis|aerosol formation process|combustion process						thermolysis|aerosol formation process|combustion process		
ENVO_00005761																															meadow soil					meadow ecosystem|grassland ecosystem			meadow ecosystem|grassland ecosystem	meadow ecosystem|grassland ecosystem						
