class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_01001186,acidic volcanic ash,,,"Volcanic ash which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk pH measurement of less than 7.",,,,,,,,ENVO_01000701,,medium acidity|acidic,silicon molecular entity|silicon dioxide,,,,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,medium acidity|acidic,,,,silicon molecular entity|silicon dioxide,medium acidity|acidic,,ash|acidic volcanic ash|volcanic ash,,silicon molecular entity|silicon dioxide,aerosol formation process|volcanic eruption|combustion process|thermolysis,silicon molecular entity|silicon dioxide,,,aerosol formation process|thermolysis|volcanic eruption|combustion process,,
ENVO_01001189,algal material,,"An organic material which is primarily composed of living or dead algae, along with their exudates.",,"This class will be axiomatised with ""alga"" once an approach to handle this term's ambiguous semantics has been agreed with PCO.",,,,,,,ENVO_01000155,,,,,,,,,,,,,,,,,algal material,,,,,,,,,
ENVO_01001190,brown sea ice,,,"Sea ice which has a brown colouration, either due to 1) the presence of pigments which are or were contained in the members of ecological assemblages, such as algal communities, living or trapped within the ice or 2) due to the presence of trapped sediments.",,,brownish colored sea ice,,,,,ENVO_00002200,,brown|optical quality|quality of interaction of a substance with electromagnetic radiation|color,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,quality of interaction of a substance with electromagnetic radiation|brown|optical quality|color,,,,,quality of interaction of a substance with electromagnetic radiation|brown|optical quality|color,,sea ice|water ice|ice|brown sea ice,,,freezing of water into water ice|freezing,,,,freezing|freezing of water into water ice,,
ENVO_01001202,alluvium,,,Soil or sediment which has been eroded and influenced by flowing water and redeposited in a non-marine setting.,,,,,,,,ENVO_00010483,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,alluvium,,,,,,,,,
ENVO_01001203,alluvial sediment,,,Sediment which has been transported by flowing water and redeposited in a non-marine setting.,,,,,,,,ENVO_00002007,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|alluvial sediment,,,,,,,,,
ENVO_01001204,alluvial deposit,,,A rock which is formed as a result of the lithification of alluvium.,,,,,,,,ENVO_00001995,,hard,,,,,,lithification,lithification,hard,,,,,hard,,rock|alluvial deposit,,,lithification,,,,lithification,,
ENVO_01001231,kerogen,,,Organic material which is in a solid phase and contained in sedimentary rock.,,,,,,,,ENVO_01000814; ENVO_01000155,,,,,,,,,,,,,,,,,kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001232,sapropelic kerogen,,,"Kerogen which cotains alginite, amorphous organic matter, cyanobacteria, freshwater algae, and land plant resins, thus having a hydrogen to carbon ratio above 1.25, and oxygen to carbon ratio below 0.15, readily produces liquid hydrocarbons, has reduced concentrations of aromatic structures, and primarily derived from proteins and lipids.",,,,,,,,ENVO_01001231,,,,,,,,,,,,,,,,,sapropelic kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001233,labile kerogen,,,Kerogen from which heavy hydrocarbons (such as oils) are derived following chemical break down.,,,,,,,,ENVO_01001231,,,,,,oil|petroleum,,,,,,,,,,,labile kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001234,recalcitrant kerogen,,,Kerogen from which light hydrocarbons (such as hydrocarbon gases) are derived following chemical break down.,,,,,,,,ENVO_01001231,,,,,,hydrocarbon gas,,,,,,,,,,,recalcitrant kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001235,planktonic kerogen,,,"Kerogen which is enriched in sulfur compounds, has a hydrogen to carbon ratio under 1.25, an oxygen to carbon ratio between 0.03 and 0.18, derives into mixtures of hydrocarbon gas and oil, and derives from marine organic materials (primarily lipids) which are formed in reducing environments.",,,,,,,,ENVO_01001231,,,,,planktonic material,oil|petroleum|hydrocarbon gas,,,,,,,sulfur molecular entity,sulfur molecular entity,,,planktonic kerogen|kerogen,,sulfur molecular entity,,sulfur molecular entity,,rock|sedimentary rock,,,
ENVO_01001236,sulfrous kerogen,,,Planktonic kerogen which has high concentrations of sulfur compounds.,,,,,,,,ENVO_01001235,,,,,planktonic material,oil|petroleum|hydrocarbon gas,,,,,,,sulfur molecular entity,sulfur molecular entity,,,planktonic kerogen|sulfrous kerogen|kerogen,,sulfur molecular entity,,sulfur molecular entity,,rock|sedimentary rock,,,
ENVO_01001237,humic kerogen,,,"Kerogen which derives from land plants, resembles wood or coral in structure, has a hydrogen to carbon ratio under 1, an oxygen to carbon ratio between 0.03 to 0.3, and which primarily produces coal or hydrocarbon gas on degradation.",,,,,,,,ENVO_01001231,,,,,Eukaryota|Viridiplantae,,,,,,,,,,,,humic kerogen|kerogen,,,,,,rock|sedimentary rock,,,
ENVO_01001238,residual kerogen,,,Kerogen which has a hydrogen to carbon ratio less than  0.5 and primarily composed of polycyclic aromatic hydrocarbons.,,,,,,,,ENVO_2000045; ENVO_01001231,,fuel|combustibility,polycyclic hydrocarbon|cyclic hydrocarbon,,,,,,,fuel|combustibility,,,,polycyclic hydrocarbon|cyclic hydrocarbon,,fuel,residual kerogen|kerogen,,polycyclic hydrocarbon|cyclic hydrocarbon,,polycyclic hydrocarbon|cyclic hydrocarbon,,rock|sedimentary rock,,,
ENVO_01001257,saline shrimp pond water,,,Saline water which is derived from sea water and used during the cultivation of crustaceans.,,,,,,,,ENVO_01000813; ENVO_00002010,,osmolarity|increased osmolarity,,,liquid water|saline water|sea water,,,,,osmolarity|increased osmolarity,,,salt|chlorine molecular entity|sodium chloride,halogen|chlorine molecular entity|salt|chlorine atom|sodium chloride|chloride,increased osmolarity|osmolarity,,liquid water|saline water|saline shrimp pond water,,hydrosphere|shrimp pond|salt|halogen|sodium chloride|chlorine molecular entity|chloride|chlorine atom,,hydrosphere|shrimp pond|halogen|salt|sodium chloride|chlorine molecular entity|chloride|chlorine atom,hydrosphere|shrimp pond,,crustacean farming process|animal aquaculture process|anthropogenic environmental process,,
ENVO_01001258,vog,,"""Vog and smog are different. Vog is formed when sulfur oxides emitted by a volcano react with moisture to form an aerosol. The aerosol scatters light, thus making the vog visible. Smog is formed largely from the incomplete combustion of fuel, reacting with nitrogen oxides and ozone produced from carbon monoxide by reactions with sunlight. The result is also a visible aerosol.""","A fog which is composed of liquid aerosols and gases derived from volcanic gas emissions (primarily sulfur oxides), formed when sulfur-bearing gases react with sunlight, oxygen, and moisture in an atmosphere.",,,,,,,,ENVO_01000844,air,amorphous,liquid water,,,,,gas emission process,gas emission process|condensation process,amorphous,,,,liquid water|sulfur molecular entity,amorphous,,atmospheric aerosol|aerosol|fog|aerosolised liquids|vog,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air|sulfur molecular entity,gas emission process|condensation process,atmosphere|fluid layer|liquid water|sulfur molecular entity,atmosphere|fluid layer,,gas emission process|condensation process,,air
ENVO_01001267,stormwater,,"""Stormwater can soak into the soil (infiltrate), be held on the surface and evaporate, or runoff and end up in nearby streams, rivers, or other water bodies (surface water).""",Water which accumulates on a solid surface during precipitation events and snow/ice melt.,,,storm water,,,,,ENVO_00002006,,,,,,,,,,,,,,,,,liquid water|stormwater,,,,,,,,,
ENVO_01001268,urban stormwater,,"""Stormwater can soak into the soil (infiltrate), be held on the surface and evaporate, or runoff and end up in nearby streams, rivers, or other water bodies (surface water).""",Stormwater which accumulates in an urban ecosystem.,,,urban storm water,,,,,ENVO_01001267,,,,construction|anthropogenic environment|human construction|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|technosphere|Dipnotetrapodomorpha|Boreoeutheria|Eutheria|Homo|Homininae|Hominidae|Euarchontoglires|Simiiformes|Hominoidea|Tetrapoda|Amniota|Theria <mammals>|Bilateria|Chordata|Deuterostomia|Mammalia|Vertebrata <vertebrates>|Primates|Homo sapiens|dense settlement biome|urban biome|Craniata <chordates>|Haplorrhini|Catarrhini|Gnathostomata <vertebrates>|Opisthokonta|Eukaryota|dense settlement|Teleostomi|Euteleostomi|Sarcopterygii|environmental system determined by an organism|animal-associated environment|human settlement,,,,,,,,,,,,,liquid water|urban stormwater|stormwater,construction|anthropogenic environment|human construction|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|technosphere|Sarcopterygii|Dipnotetrapodomorpha|Boreoeutheria|Eutheria|Homo|Homininae|Hominidae|Euarchontoglires|Simiiformes|Hominoidea|Tetrapoda|Amniota|Theria <mammals>|Bilateria|Chordata|Deuterostomia|Mammalia|Vertebrata <vertebrates>|Primates|Homo sapiens|dense settlement biome|urban biome|Craniata <chordates>|anthropised terrestrial environmental zone|area of developed space|Haplorrhini|Catarrhini|Gnathostomata <vertebrates>|Opisthokonta|Eukaryota|dense settlement|Teleostomi|Euteleostomi|environmental system determined by an organism|animal-associated environment|human settlement,,,,,,,,
ENVO_01001270,rural stormwater,,"""Stormwater can soak into the soil (infiltrate), be held on the surface and evaporate, or runoff and end up in nearby streams, rivers, or other water bodies (surface water).""",Stormwater which accumulates in a rural ecosystem.,,,rural storm water,,,,,ENVO_01001267,,,,anthropogenic environment|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem,,,,,,,,,,,,,liquid water|rural stormwater|stormwater,anthropogenic environment|terrestrial biome|anthropogenic terrestrial biome|terrestrial ecosystem|anthropised ecosystem|rural area|anthropised terrestrial environmental zone,,,,,,,,
ENVO_01001282,silica dust,,,Dust which is composed primarily of slicon dioxide.,,,,,,,,ENVO_00002008,,dry|granular,silicon molecular entity|silicon dioxide,,,,,,,dry|granular,,,,silicon molecular entity|silicon dioxide,dry|granular,,dust|silica dust,,silicon molecular entity|silicon dioxide,,silicon molecular entity|silicon dioxide,,,,,
ENVO_01001283,aluminium dust,,,Dust which is primarily composed of aluminium particles.,,,,,,,,ENVO_00002008,,dry|granular,aluminium molecular entity,,,,,,,dry|granular,,,,aluminium molecular entity,dry|granular,,dust|aluminium dust,,aluminium molecular entity,,aluminium molecular entity,,,,,
ENVO_01001284,barium dust,,,Dust which is primarily composed of barium particles.,,,,,,,,ENVO_00002008,,dry|granular,,,,,,,,dry|granular,,,,,dry|granular,,dust|barium dust,,,,,,,,,
ENVO_01001285,talc dust,,,Dust which is primarily composed of hydrated magnesium silicate (talc) particles.,,,,,,,,ENVO_00002008,,dry|granular,Talc,,,,,,,dry|granular,,,,Talc,dry|granular,,dust|talc dust,,Talc,,Talc,,,,,
ENVO_01001286,slate dust,,,Dust which is primarily composed of slate particles.,,,,,,,,ENVO_00002008,,dry|granular,,,rock|slate|metamorphic rock,,,,,dry|granular,,,,,dry|granular,,dust|slate dust,,,,,,,,,
ENVO_01001288,kaolin dust,,,Dust which is primarily composed of kaolinite particles.,,,kaolinite dust,,,,,ENVO_02000100,,dry|granular,mixture|kaolin,,,,,,,dry|granular,,,,mixture|kaolin|kaolinite,dry|granular,,dust|kaolin dust,,mixture|kaolin|kaolinite,,mixture|kaolin|kaolinite,,,,,
ENVO_01001391,gill tissue material,,An organic environmental material which is primarily composed of gill tissue.,,,,,,,,,ENVO_01000155,,,,,,,,,,,,,,,,,,,respiratory system|gill|organ,,respiratory system|gill|organ,,,,,
ENVO_01001392,mussel gill tissue material,,Gill tissue material which is part of salt-water mussel in the family Mytilidae,,,,,,,,,ENVO_01001391,,,,,,,,,,,,,,,,,,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,,,,
ENVO_01001393,Bathymodiolus gill tissue material,,Mussel gill tissue material which is part of a member of the genus Bathymodiolus.,,,,,,,,,ENVO_01001392,,,,,,,,,,,,,,,,,,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,Bilateria|Protostomia|respiratory system|Mytiloidea|Pteriomorphia|Mytilida|Spiralia|Autobranchia|Bivalvia|Mollusca|Eukaryota|Mytilidae|gill|organ|Opisthokonta,,,,,
ENVO_01001395,necromass,,,"Biomass which is composed primarily of dead organisms, their parts, or their organic derivatives.",,,dead biological matter; dead biomass,,,,,ENVO_01000155,,,,,,,,,,,,,,,,,necromass,,,,,,,,,
ENVO_01001396,abyssal clay,,,Clay which is part of an abyssal plain.,,,,,,,,ENVO_01000813; ENVO_00002982,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,clay|abyssal clay,,landform|surface landform|plain|abyssal plain,,landform|surface landform|plain|abyssal plain,landform|surface landform|plain|abyssal plain,,,,
ENVO_01001397,ultisol,,"The word ""ultisol"" is derived from ""ultimate"", because ultisols were seen as the ultimate product of continuous weathering of minerals in a humid, temperate climate without new soil formation via glaciation.","A soil which has high mineral content and which contain no calcareous material, have less than 10% weatherable minerals its surface layer, and have less than 35% base saturation throughout its volume.",,,red clay soil,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|ultisol,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001402,haze,,,"An aersolised mass of dust, smoke, or other dry particulates which scatters visible light thus obsscuring visibility through an atmosphere.",,,,,,,envoAtmo,ENVO_01001089; ENVO_01001652,air,amorphous,,,,,,,,amorphous,,,,,amorphous,,atmospheric aerosol|aerosol|aerosolised solids|haze,,atmosphere|fluid layer|air,,atmosphere|fluid layer,atmosphere|fluid layer,,,,air
ENVO_01001458,mist,,"This class refers only to mist formed by materials primarily composed of water. Mist is less dense than fog, and visibility is typically greater than one kilometre.","A visible mass of water droplets or ice crystals suspended in the air at or near a planetary surface, formed when humid air cools rapidly.",,,,,,,,ENVO_01001088; ENVO_01001652,air,amorphous,liquid water,,,,,,condensation process,amorphous,,,,liquid water,amorphous,,atmospheric aerosol|aerosol|aerosolised liquids|mist,atmosphere|fluid layer,atmosphere|fluid layer|liquid water|air,condensation process,atmosphere|fluid layer|liquid water,atmosphere|fluid layer,,condensation process,,air
ENVO_01001511,freshwater ice,,Water ice which is formed by the freezing of fresh water.,,,,,,,,,ENVO_01000277; ENVO_02000140,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,ice|water ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001512,congelation sea ice,,Congelation ice usually forms through the fusion/coalescence of platelets into solid ice.,Sea ice which 1) has formed on the submerged surface (i.e. the base) of an existing mass of sea ice and 2) is composed of columnar crystals due to the downward growth of the crystals into the water.,,,,,black ice,,,ENVO_00002200,liquid water|water ice|sea ice|ice|saline water|sea water,,,,liquid water|saline water|sea water,,,,freezing|freezing of water into water ice,,,,,,,,sea ice|water ice|ice|congelation sea ice,,liquid water|sea ice|ice|water ice|saline water|sea water,freezing of water into water ice|freezing,water ice|sea ice|ice,sea ice|water ice|ice,,freezing|freezing of water into water ice,,liquid water|water ice|sea ice|ice|saline water|sea water
ENVO_01001513,permafrost congelation ice,,,Water ice which has formed in a mass of permafrost.,,,,,,,,ENVO_01000277,,,,,,,,,,,,,,,,,water ice|ice|permafrost congelation ice,,permafrost,,permafrost,permafrost,,,,
ENVO_01001514,congelation ice in a fresh water body,,,Freshwater ice which forms downward from the surface of a freshwater water body and is transparent due to a reduced number of air bubbles trapped in its mass.,,,black ice,,,,,ENVO_01001515,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|congelation ice in a fresh water body|freshwater congelation ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001515,freshwater congelation ice,,,Freshwater ice which forms on a solid substrate through the freezing of freshwater.,,,,,,,,ENVO_01001511,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|freshwater congelation ice|freshwater ice,,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001516,ice cave congelation ice,,,Freshwater congelation ice which has formed on a solid substrate in an ice cave.,,,,,,,,ENVO_01001515,,,liquid water|fresh water,,,,,,,,,,,liquid water|fresh water,,,water ice|ice|freshwater congelation ice|ice cave congelation ice|freshwater ice,surface landform|landform|cave,liquid water|fresh water,,liquid water|fresh water,,,,,
ENVO_01001523,frazil,,"Typically 3 to 4 millimeters in diameter. These may form in both marine water and fresh water. They represent the first stages of sea ice growth; they merge under calm conditions to form thin sheets of ice on the surface (frazil ice), and consist of nearly pure fresh water. In fresh water, they form in supercooled water that is too turbulent to permit coagulation into sheet ice.  This is most common in swiftly flowing streams. They may accumulate as anchor ice on submerged objects obstructing the water flow.","Small, needle-like (spicules), plate-like, or discoid crystals derived from nearly pure fresh water, suspended in a water body.","Needs to have axioms added pertaining to the semantics of colloids and suspensions once they have been resolved see: https://github.com/pato-ontology/pato/issues/91#issuecomment-290711238

Currently the new ice classes are not specific to sea water as they may form in non marine systems, but it would be good to confirm this especially for frazil ice.",,frazil crystals; needle ice,,,,envoPolar,ENVO_03000063,,decreased quality|decreased size,,,liquid water|fresh water,,,,new ice formation process|water ice formation process,decreased quality|decreased size,,,,,decreased quality|decreased size,,water ice|ice|frazil|new ice,,,new ice formation process|water ice formation process,,,liquid water,new ice formation process|water ice formation process,,
ENVO_01001525,hard-frozen soil,,,"Frozen soil which is firmly cemented by water ice, is subject to brittle failure, and exhibits practically no consolidation under load.",,,,,,,,ENVO_01000814; ENVO_01001526,,porous|porosity|hard|frozen,,,,,,,,porous|porosity|hard|frozen,,,,clay|sand|water ice|silt|ice,porous|hard|porosity|frozen,,soil|hard-frozen soil|frozen soil,,frozen land|pedosphere|sand|clay|silt|ice|water ice,,pedosphere|frozen land|clay|sand|water ice|silt|ice,frozen land|pedosphere,,,,
ENVO_01001526,frozen soil,,,Soil which is below the freezing point of water.,,,,,,,,ENVO_00001998,,porous|porosity|frozen,,,,,,,,porous|porosity|frozen,,,,clay|sand|silt,porous|porosity|frozen,,soil|frozen soil,,pedosphere|frozen land|clay|sand|silt,,pedosphere|frozen land|clay|sand|silt,pedosphere|frozen land,,,,
ENVO_01001527,plastic-frozen soil,,,"Frozen soil which is cemented by water ice but has viscous properties due to its high, unfrozen water content and therefore will compress and deform under load.",,,,,,,,ENVO_01001526,,porous|porosity|frozen,,,,,,,,porous|porosity|frozen,,,,liquid water|clay|sand|silt,porous|porosity|frozen,,soil|plastic-frozen soil|frozen soil,,frozen land|pedosphere|clay|liquid water|sand|silt,,pedosphere|frozen land|clay|liquid water|sand|silt,pedosphere|frozen land,,,,
ENVO_01001528,friable-frozen soil,,,"Frozen soil which has very low total water content and is not cemented by ice; its compressibility is the same as that of unfrozen soils having the same composition, total water content and density.",,,dry-frozen soil,,,,,ENVO_01000814; ENVO_01001526,,porous|porosity|hard|frozen,,,,,,,,porous|porosity|hard|frozen,,,,clay|sand|water ice|silt|ice,porous|hard|porosity|frozen,,soil|frozen soil|friable-frozen soil,,frozen land|pedosphere|sand|clay|silt|ice|water ice,,pedosphere|frozen land|clay|sand|water ice|silt|ice,frozen land|pedosphere,,,,
ENVO_01001557,water-body-derived ice,,"In the United States, NOAA considers ice formed from the freezing of the waters of the Great Lakes as being the same as sea ice. This class attempts to provide a distinction for clarity.",Ice which has formed as the result of freezing of water which was part of a water body.,,,,,,,,ENVO_01000277,,,,,,,,,freezing|freezing of water into water ice,,,,,,,,water ice|ice,,,freezing|freezing of water into water ice,,,,freezing|freezing of water into water ice,,
ENVO_01001560,colloidal suspension,,"Wikipedia lists several forms of colloidal suspension such as colloidal aerosols, colloidal emulsions, colloidal foams, colloidal dispersions, or hydrosols.","An environmental material which is primarily composed of a dispersed phase of insoluable particles, approximately between 1 nanometer and 1 micrometer in maximum dimension, distributed throughout a material acting as a medium of suspension.",,colloid,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,colloidal suspension,,,,,,,,,
ENVO_01001561,gel,,,"An environmental material which is solid, jelly-like, and exhibits no flow when in steady state material and which contains liquid dispersed in and held in place by cross-linked structures of a solid medium.",,,,,,,,ENVO_01000814,,,,,,,,,,,,,,,,,gel,,,,,,,,,
ENVO_01001562,hydrogel,,,"A gel which is primarily composed of a network of polymer chains that are hydrophilic, sometimes found as a colloidal gel in which water is the dispersion medium.",,,,,,,,ENVO_01001561,,,,,,,,,,,,,,,,,hydrogel|gel,,,,,,,,,
ENVO_01001563,quicksand,,,"Particulate environmental material which 1) is primarily composed of a fine, granular material such as sand, silt, or clay suspended in and saturated by water and 2) readily liquefies when weight is applied, losing strength and permitting objects to sink until their weight and buoyancy offset the weight of the displaced quicksand.",Do not oversimplify the particulate environmental material subclasses with design patterns or similar. The materials have properties that their components do not - write full definitions including these where possible.,,,,,,,ENVO_01000060,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,quicksand,,,,,,,,,
ENVO_01001608,kerosene oil,,"For speakers of British English, kerosene is often referred to as paraffin.","A fuel oil which 1) is derived from petroleum oil, 2) has a strong odor, 3) produces large quantities of soot relative to other fuel oils, 4) is less refined than fuel oils such as paraffin.",,kerosene; kerosine,kerosine oil; liquid kerosene,,,,,ENVO_00002983,,fuel|fossil fuel|hydrophobicity|combustibility|hydrophobic,,,oil|petroleum,,,,,fuel|fossil fuel|combustibility|hydrophobicity|hydrophobic,,,,,hydrophobicity|hydrophobic,fuel|fossil fuel,oil|kerosene oil|fuel oil,,,,,,,,,
ENVO_01001614,ice-bearing permafrost,,,Permafrost which contains inclusions of water-based ice.,,,,,,,,ENVO_00000134,,decreased temperature|decreased quality,,,,,,,,decreased temperature|decreased quality,,,,water ice|ice,decreased temperature|decreased quality,,permafrost|ice-bearing permafrost,,ice|water ice,,water ice|ice,,,,,
ENVO_01001616,bare soil,,,Soil which is directly exposed to the atmosphere - with no intervening layer of plant life or other cover - and thus the effects of weathering and erosion.,,,,,,,,ENVO_00001998,fluid layer|troposphere|atmospheric layer,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|bare soil,,pedosphere|fluid layer|clay|sand|silt|troposphere|atmospheric layer,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001638,frost-susceptible soil,,,Soil in which segregated ice will form (causing frost heave) under the required conditions of moisture supply and temperature.,"The label would apply to all soils in which frost can form, however, the definition of this class suggests that ice segregation is a key property that differentiates this type of soil from others.",,,,,,,ENVO_00001998,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|frost-susceptible soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001644,material primarily composed of biogenic carbonates,,,,,,,,,,,ENVO_00010483,,,carbonates,,,,,,,,,,,carbonates,,,material primarily composed of biogenic carbonates,,carbonates,,carbonates,,,,,
ENVO_01001646,amorphous solid,,,A solid material which does not have a regularly organised internal structure.,,,,,,,,ENVO_01000814,,,,,,,,,,,,,,,,,amorphous solid,,,,,,,,,
ENVO_01001647,colloid suspended in a hydrosphere,,,A colloidal suspension which is dispersed through a part of a hydrosphere.,,,,,,,,ENVO_01000813; ENVO_01001560,,,,,,,,,,,,,,,,,colloidal suspension|colloid suspended in a hydrosphere,,hydrosphere,,hydrosphere,hydrosphere,,,,
ENVO_01001648,suspended colloidal sediment,,,Colloidal sediment which is suspended in a part of the hydrosphere.,,,,,,,,ENVO_01001647,,,colloidal sediment|sediment,,,,,,,,,,,colloidal sediment|sediment,,,suspended colloidal sediment|colloidal suspension|colloid suspended in a hydrosphere,,hydrosphere|colloidal sediment|sediment,,hydrosphere|colloidal sediment|sediment,hydrosphere,,,,
ENVO_01001649,heavy fraction material,,,An environmental material which is denser than bromoform.,Axiomatising this with relational density qualities pinned to bromoform would be the next step.,,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,heavy fraction material,,,,,,,,,
ENVO_01001650,light fraction material,,,An environmental material which is less dense than bromoform.,Axiomatising this with relational density qualities pinned to bromoform would be the next step.,,,,,,,ENVO_00010483,,,,,,,,,,,,,,,,,light fraction material,,,,,,,,,
ENVO_01001651,particulate matter in a hydrosphere,,,Waterborne particulate matter which is part of a hydrosphere.,,,,,,,,ENVO_01000436,liquid water,granular,,,,,,,,granular,,,,,granular,,waterborne particulate matter|particulate matter in a hydrosphere,,liquid water,,,,,,,liquid water
ENVO_01001652,atmospheric aerosol,,,An aerosol that is suspended in an atmosphere.,,,,,,,,ENVO_00010505,,amorphous,,,,,,,,amorphous,,,,,amorphous,,atmospheric aerosol|aerosol,,atmosphere|fluid layer,,atmosphere|fluid layer,atmosphere|fluid layer,,,,
ENVO_01001820,cultured organic material,,,,,,,,,,,ENVO_01000155,,,,,,,,,,,,,,,,,cultured organic material,,,,,,,,,
ENVO_01001821,hydrothermally-influenced sediment,,,"Sediment through which hydrothermally modified fluids flow, altering its properties through interaction with their own.",,,,,,,,ENVO_00002007,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,,liquid water|leachate|hydrothermal fluid,porous|porosity|granular,,sediment|hydrothermally-influenced sediment,,liquid water|leachate|hydrothermal fluid,,liquid water|leachate|hydrothermal fluid,,,,,
ENVO_01001841,volcanic soil,,,An andosol which derives its silica content from glass and tephra ejected during a volcanic eruption.,,,,,,,,ENVO_00002232,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|andosol|volcanic soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_01001845,hoar,,,Frost which is composed of interlocking ice crystals formed by vapour transfer (sublimation followed by deposition) of water vapour on some surface.,,,hoar frost; white frost,,,,,ENVO_01001850,,,water ice crystal,,,,,desublimation of water vapour into ice|desublimation process,desublimation of water vapour into ice|desublimation process,,,,,water ice|ice|water ice crystal,,,frost|hoar,,ice|water ice|water ice crystal,desublimation of water vapour into ice|desublimation process,water ice|ice|water ice crystal,,,desublimation of water vapour into ice|desublimation process,,
ENVO_01001846,depth hoar,,"Depth hoar is associated with very fast crystal growth under large temperature gradients. Sometimes a layer of depth hoar forms just above, and may assist in identifying the summer surface. The low density and low strength of depth hoar can make it difficult to retrieve unbroken core sections during coring, and can complicate estimates of accumulation by microwave remote sensing. Layers of depth hoar also increase the likelihood of avalanching. This is one way in which firn formation may begin. Depth hoar is similar in physical origin to crevasse hoar.","Hoar which is usually cup-shaped and facetted and which forms within dry, low-density snow beneath the snow surface.",,,,,,,,ENVO_01001845,,,water ice crystal,,,,,desublimation of water vapour into ice|desublimation process,desublimation of water vapour into ice|desublimation process,,,,,water ice|ice|water ice crystal,,,frost|depth hoar|hoar,,ice|water ice|water ice crystal,desublimation of water vapour into ice|desublimation process,water ice|ice|water ice crystal,,,desublimation of water vapour into ice|desublimation process,,
ENVO_01001847,hoarfrost,,,,,,,,,,,ENVO_01001845,,,water ice crystal,,,,,desublimation of water vapour into ice|desublimation process,desublimation of water vapour into ice|desublimation process,,,,,water ice|ice|water ice crystal,,,frost|hoarfrost|hoar,,ice|water ice|water ice crystal,desublimation of water vapour into ice|desublimation process,water ice|ice|water ice crystal,,,desublimation of water vapour into ice|desublimation process,,
