class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,adjacent to,bearer of,composed primarily of,contained in,derives from,derives into,existence starts during or after,formed as result of,functionally related to,has characteristic,has developmental contribution from,has function,has increased levels of,has part,has quality,has role,http://www.w3.org/2000/01/rdf-schema#subClassOf,located in,mereotopologically related to,output of,overlaps,part of,partially surrounded by,participates in,relation between physical entity and a process or stage,surrounded by
ENVO_00002047,urine material,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of urine, a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra.",,,,,,,,ENVO_02000022,,waste role,sweat|excreta|cerumen|urine,,,,,,,waste role,,,,sweat|cerumen|excreta|urine,,waste role,waste material|bodily fluid material|excreta material|urine material,,excreta|sweat|cerumen|urine,,sweat|excreta|cerumen|urine,,,,,
ENVO_00002053,limestone,,,A sedimentary rock which is composed primarily of calcium carbonate in the form of calcite or aragnoite.,"An interesting reasoning error was generated when this class had ""composed primariy of some CHEBI:calcium carbonate"". As that was a CHEBI:mineral, and minerals are disjoint from ENVO:rock, it led to an unsatisfiable class. The current axiom works around this, but this is requires some sort of geological convention to diffferentiate between masses of minerals and rocks that are composed primarily of minerals.",,,,,,,ENVO_00002016,,hard,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,precipitation process,precipitation process,hard,,,,,hard,,rock|sedimentary rock|limestone,,,precipitation process,,,,precipitation process,,
ENVO_00002054,chalk,,,"Limestone which is soft, white, and porous.",,,,,,,,ENVO_00002053,,porous|porosity|hard|white|optical quality|quality of interaction of a substance with electromagnetic radiation|color,,,salt|calcium carbonate|calcium molecular entity|carbonates|carbonate salt|alkaline earth salt,,,precipitation process,precipitation process,porous|hard|porosity|quality of interaction of a substance with electromagnetic radiation|white|optical quality|color,,,,,porous|hard|porosity|quality of interaction of a substance with electromagnetic radiation|white|optical quality|color,,rock|sedimentary rock|limestone|chalk,,,precipitation process,,,,precipitation process,,
ENVO_00002055,sandstone,,,A sedimentary rock composed mainly of sand-size mineral or rock grains.,,,,,,,,ENVO_01000271,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock|sandstone|clastic sedimentary rock,,,,,,,,,
ENVO_00002056,shale,,,"A fine-grained sedimentary rock whose original constituents were clays or muds. It is characterized by thin laminae breaking with an irregular curving fracture, often splintery and usually parallel to the often-indistinguishable bedding plane.",,,,,,,,ENVO_01000271,,hard,,,,,,,,hard,,,,,hard,,rock|sedimentary rock|shale|clastic sedimentary rock,,,,,,,,,
ENVO_00002057,raw primary sludge,,,,,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|raw primary sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002058,secondary sludge,,,,,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|secondary sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002059,biosolids,,,"A treated form of sludge, sometimes used as a fertilizer in agriculture.",,,,,,,,ENVO_00002044,,,,,,,,,anthropogenic environmental process,,,,,,,,sludge|biosolids,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002060,oil sludge,,,"A solid or gel in motor oil caused by the oil gelling or solidifying, usually at temperatures lower than 100deg C.",,,,,,,,ENVO_00002176,,,,,,,,,anthropogenic environmental process,,,,,,,,oil sludge|sludge|contaminated sludge,,,anthropogenic environmental process,,,,anthropogenic environmental process,,
ENVO_00002113,deep marine sediment,,,"Sediment that accumulates in the flat or very gently sloping areas of the deep ocean basin floor. The three main types of deep marine sediment, also known as pelagic sediment, are siliceous oozes, calcareous oozes, and red clays.",,,deep marine sediments,,pelagic sediment {alternative name},,envoPolar,ENVO_03000033,marine water body,porous|granular|porosity,,,,,,,sedimentation in a water body|material accumulation process,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|deep marine sediment|marine sediment,,marine water body,sedimentation in a water body|material accumulation process,,,,sedimentation in a water body|material accumulation process,,
ENVO_00002114,chemically enriched sediment,,,Sediment which has increased levels of one or more chemical compounds.,,,,,,,,ENVO_00002007,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|chemically enriched sediment,,,,,,,,,
ENVO_00002115,petroleum enriched sediment,,,Organically enriched sediment which has increased levels of petroleum.,,,,,,,,ENVO_00002202,,porous|granular|porosity,,,,,,,,porous|porosity|granular,,,oil|petroleum,oil|petroleum,porous|porosity|granular,,sediment|organically enriched sediment|petroleum enriched sediment|chemically enriched sediment,,oil|petroleum,,oil|petroleum,,,,,
ENVO_00002116,contaminated soil,,"""contaminant"" is more of a disposition - any material entity can be a contaminant in particular circumstances.",A portion of contaminated soil is a portion of soil with elevated levels of some contaminant.,,,,,,,,ENVO_00003082,,porous|porosity,,,,,,,,porous|porosity,,,,clay|sand|silt,porous|porosity,,soil|enriched soil|contaminated soil,,pedosphere|clay|sand|silt,,pedosphere|clay|sand|silt,pedosphere,,,,
ENVO_00002117,creosote contaminated soil,,,Soil which has elevated concentrations of creosote.,,,,,,,,ENVO_00002116,,porous|porosity,,,,,,,,porous|porosity,,,manufactured product|chemical product|creosote,clay|sand|silt|manufactured product|chemical product|creosote,porous|porosity,,soil|enriched soil|contaminated soil|creosote contaminated soil,,pedosphere|sand|clay|silt|manufactured product|chemical product|creosote,,pedosphere|clay|sand|silt|manufactured product|chemical product|creosote,pedosphere,,,,
ENVO_00002118,sea sand,,,,,,,,,,,ENVO_01000017,,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,granular,,sand|sea sand,,,,,,,,,
ENVO_00002122,arsenic-rich mud,,,Mud which has elevated concentrations of arsenic.,,,,,,,,ENVO_01000001,,,,,,,,,,,,,,soil|liquid water|clay|sand|silt,,,mud|arsenic-rich mud,,soil|pedosphere|sand|clay|liquid water|silt,,soil|pedosphere|clay|liquid water|sand|silt,,,,,
ENVO_00002127,stream sediment,,Revise adjacent to. Consider sampled stream sediment. Dry stream sediment.,,,,,,,,,ENVO_00002007,stream,porous|porosity|granular,,,,,,,,porous|porosity|granular,,,,,porous|porosity|granular,,sediment|stream sediment,,stream,,,,,,,
