class,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_01000215,,,temperate,terrestrial biome|temperate biome|temperate environment|terrestrial ecosystem|shrubland biome|temperate shrubland biome,,
ENVO_01000216,,,montane,terrestrial biome|terrestrial ecosystem|shrubland biome|montane shrubland biome|montane biome,,
ENVO_01000217,,,subtropical|mediterranean,terrestrial biome|terrestrial ecosystem|shrubland biome|subtropical shrubland biome|mediterranean shrubland biome|subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01000218,,,,terrestrial biome|terrestrial ecosystem|shrubland biome|xeric shrubland biome,,
ENVO_01000219,,anthropisation,,terrestrial biome|anthropogenic environment|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome,,
ENVO_01000220,,,tropical,terrestrial biome|tropical environment|woodland biome|terrestrial ecosystem|tropical biome|tropical woodland biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000221,,,temperate,terrestrial biome|temperate biome|temperate environment|woodland biome|terrestrial ecosystem|temperate woodland biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000222,,,subtropical,terrestrial biome|woodland biome|terrestrial ecosystem|subtropical woodland biome|subtropical environment|subtropical biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000223,,,montane,terrestrial biome|woodland biome|savanna biome|terrestrial ecosystem|montane savanna biome|montane biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000224,,,mediterranean|subtropical,terrestrial biome|grassland ecosystem|subtropical grassland|mediterranean grassland|terrestrial ecosystem|grassland biome|subtropical grassland biome|mediterranean grassland biome|subtropical environment|subtropical biome|mediterranean biome,,
ENVO_01000225,,,subtropical,terrestrial biome|forest biome|broadleaf forest|subtropical broadleaf forest|subtropical dry broadleaf forest|subtropical forest|forest ecosystem|terrestrial ecosystem|broadleaf forest biome|subtropical broadleaf forest biome|subtropical dry broadleaf forest biome|subtropical environment|subtropical biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000226,,,subtropical,terrestrial biome|forest biome|broadleaf forest|subtropical broadleaf forest|subtropical moist broadleaf forest|subtropical forest|forest ecosystem|terrestrial ecosystem|broadleaf forest biome|subtropical broadleaf forest biome|subtropical moist broadleaf forest biome|subtropical environment|subtropical biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000227,,,tropical,terrestrial biome|forest biome|tropical environment|broadleaf forest|tropical broadleaf forest|tropical dry broadleaf forest|forest ecosystem|terrestrial ecosystem|tropical forest|tropical biome|broadleaf forest biome|tropical broadleaf forest biome|tropical dry broadleaf forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000228,,,tropical,terrestrial biome|forest biome|broadleaf forest|tropical broadleaf forest|tropical moist broadleaf forest|forest ecosystem|tropical environment|terrestrial ecosystem|tropical forest|tropical biome|broadleaf forest biome|tropical broadleaf forest biome|tropical moist broadleaf forest biome,forest ecosystem|forest canopy|terrestrial ecosystem|canopy,
ENVO_01000229,,,mediterranean|subtropical,terrestrial biome|woodland biome|savanna biome|terrestrial ecosystem|subtropical savanna biome|mediterranean savanna biome|subtropical environment|subtropical biome|mediterranean biome,woodland area|terrestrial biome|vegetated area|terrestrial environmental zone|terrestrial ecosystem,
ENVO_01000245,,anthropisation,,terrestrial biome|anthropogenic environment|cropland ecosystem|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome|cropland biome,,
ENVO_01000246,human construction,anthropisation,,human settlement|anthropogenic environment|village|environmental system determined by an organism|animal-associated environment|environment associated with an animal part or small animal|anthropised ecosystem|village biome,human construction,human construction
ENVO_01000247,,anthropisation,,terrestrial biome|anthropogenic environment|anthropised ecosystem|terrestrial ecosystem|anthropogenic terrestrial biome|rangeland biome,,
