ols,count
organonitrogen heterocyclic compound,11
methylbenzene,11
monocyclic arene,11
alkylbenzene,11
aerosolised liquids,11
primary alcohol,11
mixture,11
pnictogen oxoanion,11
alkyl alcohol,11
new ice,11
vegetated area,10
alpha-amino acid,10
carbon monoxide,10
amino acid,10
interstitial fluid,10
mass of compounded environmental materials,10
farm,10
saline water body,10
chemically enriched sediment,10
monocarboxylic acid amide,10
nitro compound,10
C-nitro compound,10
piece of rock,10
amino acid chain,9
ecto-epithelium,9
loam,9
amino-acid residue,9
immaterial anatomical entity,9
platinum,9
proteinogenic amino-acid residue,9
alpha-amino-acid residue,9
information biomacromolecule,9
fog,9
presumptive neural plate,9
polypeptide,9
epithelium,9
histosol,9
cropland biome,9
ester,9
clastic sedimentary rock,9
gastrula,9
cropland ecosystem,9
mount,9
limestone,9
plant organ,9
coast,9
lead atom,9
glue,9
pre-chordal neural plate,9
multi-tissue plant structure,9
protein polypeptide chain,9
peptide,9
decreased temperature,9
lead molecular entity,9
ectoderm,9
polyester macromolecule,9
presumptive ectoderm,9
neurectoderm,9
external encapsulating structure,9
permafrost,9
concentrated,9
extracellular matrix,9
increased size,9
monocarboxylic acid,9
future central nervous system,9
metal allergen,9
future nervous system,9
gastrula stage,9
increased thickness,9
gastrulation,9
thickness,9
anatomical structure morphogenesis,9
embryonic morphogenesis,9
chemical role,9
opaque,9
copper group element atom,9
copper group molecular entity,9
opacity,9
multi-tissue structure,9
neural plate,9
platinum molecular entity,9
sea ice formation process,9
paddy field,9
nickel group molecular entity,9
protein-containing molecular entity,9
1-D extent,9
nickel group element atom,9
platinum group metal atom,9
color,9
fused compound,8
polycyclic arene,8
hydrocarbon gas,8
collective plant structure,8
elemental carbon,8
coordination entity,8
ortho-fused polycyclic hydrocarbon,8
frazil,8
naphthalene,8
wax,8
peat soil,8
collective plant organ structure,8
carbobicyclic compound,8
ocular refractive media,8
kerogen,8
ortho-fused polycyclic arene,8
arsenic atom,8
transition element coordination entity,8
reactive oxygen species,8
ortho-fused compound,8
ortho-fused bicyclic arene,8
naphthalenes,8
organic polycyclic compound,8
ortho-fused bicyclic hydrocarbon,8
steroid,8
non-connected functional system,8
metallic material,7
biofilm material,7
aluminium molecular entity,7
portion of plant tissue,7
compost,7
contaminated soil,7
organism subdivision,7
craniocervical region,7
lymph,7
gas emission process,7
portion of meristem tissue,7
circulatory system,7
anaerobic sediment,7
